S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,240899.0,ANKUSH SHARMA GOVT CONTRACTOR,INR,"1,505,125.8",Finance,Attached,Vivek Sharma,18-Nov-2021 06:29 PM,finance_79280.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,30-Oct-2021 05:30 PM,None,1.0,240899.0,ANKUSH SHARMA GOVT CONTRACTOR,20-Oct-2021 05:16 PM,Accepted-AOC,l1,08-Jun-2022 07:02 PM,EE Hamirpur,Internal,Attached,Vivek Sharma,18-Nov-2021 06:32 PM,finsummary_79280.pdf (586.64 KB),08-Jun-2022,"INR 1,500,126",90.0,Vivek Sharma,08-Jun-2022 07:02 PM,BhiraHallanaFFFFFF.pdf (748.00 KB),Award,PWD,2021_PWD_52998_1,Construction of link road Bhira Hallana,Construction of link road from Bhira Hallana Lahar to Harizan Basti Lahar km 0/0 to 0/500,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,30-Oct-2021 05:36 PM,01-Nov-2021 10:30 AM,techsummary_79280.pdf (979.84 KB),AOC,EE HPPWD Hamirpur,EE HPPWD Hamirpur,Construction of link road from Bhira Hallana Lahar to Harizan Basti Lahar km 0/0 to 0/500,"SH- Construction of 5/7 mtrs. Wide road formation cutting at RD 0/0 to 0/450, C/O Hume pipe culvert 900mm dia at RD 0/250 and 0/360 and C/O retaining wall at RD 0/0 to 0/020, 0/100 to 0/120 and 0/260 to 0/280) Under OTMNP Head",Please refer Tender documents. ,NA ,"14,47,629",Civil Works - Roads,NA ,Tender,90.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,EE HPPWD Hamirpur,No ,No,14-Oct-2021 06:00 PM,21-Oct-2021 11:30 AM,14-Oct-2021 06:00 PM,21-Oct-2021 10:30 AM,NA ,NA ,14-Oct-2021 06:00 PM,21-Oct-2021 10:30 AM,01-Nov-2021 10:30 AM,1.0,ICICI BANK,PWD,Construction of link road Bhira Hallana,2021_PWD_52998_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,"29,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,2.0,240914.0,Surjeet Kumar,21-Oct-2021 09:40 AM,Rejected-Finance,l2,18-Nov-2021 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,AOC
