Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
PWD,2022_PWD_55609_1,EE Dehra letter No.9004-08 dated 05.01.2022,Construction of Science Block Govt. Senior Secondary School at Lagru Distt. Kangra HP,Technical,Bid opening summary,Dinesh Kumar Dhiman,05-Feb-2022 04:38 PM,technical_83549.pdf,1.0,257101.0,KARAN DHADWAL,19-Jan-2022 05:47 PM,Rejected-Technical,Non Responsive,05-Feb-2022 04:50 PM,AOC,1.0,ICICI BANK,13-Jan-2022 10:00 AM,21-Jan-2022 11:30 AM,13-Jan-2022 10:00 AM,20-Jan-2022 06:00 PM,13-Jan-2022 10:00 AM ,18-Jan-2022 04:00 PM ,13-Jan-2022 10:00 AM,20-Jan-2022 06:00 PM,10-Feb-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,Construction of Science Block Govt. Senior Secondary School at Lagru Distt. Kangra HP,Construction of building portion including WS and SI including Rain Harvesting Tank),Before uploading of tender please refer to bidding document for all conditions/instructions ,NA ,"88,99,514",Civil Works - Buildings,C/O building ,Tender,75.0,365.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,"1,21,500",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,PWD,EE Dehra letter No.9004-08 dated 05.01.2022,2022_PWD_55609_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD Division Dehra,AOC
,,,,,,,,,2.0,257526.0,KARTAR SINGH,20-Jan-2022 05:21 PM,Accepted-AOC,Work award Lowest contractor,15-Jun-2022 09:54 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,257566.0,SANDEEP SHARMA,20-Jan-2022 04:12 PM,Accepted-AOC,Rejected being L2,15-Jun-2022 09:54 AM,AOC,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Aff with name of bid regarding correctness of bid documents furnished with the bid duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Aff. of detail of near relativesworking in HPPWD as Gazetted/non Gazetted officer duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,list of work in hand/existing commentments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Work done similar nature executed in last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
