Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,PWD,SD-I-CTR-Tender-2022-2023-2358 dt 10-5-2022,2022_PWD_60724_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,17-May-2022 06:30 PM,24-May-2022 11:00 AM,17-May-2022 06:30 PM,24-May-2022 10:00 AM,NA ,NA ,17-May-2022 06:30 PM,24-May-2022 10:00 AM,26-May-2022 10:30 AM,"41,200",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),Annual surfacing on Chharabra to Kalyani Helipad Km.0/00 to 1/200,Providing renewal coat of 30mm thick bituminous concrete including correction at Km.0/00 to 1/200,As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,30.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,500.0,Nil,Nil,No,AOC,1.0,283342.0,lov vij govt contractor,23-May-2022 08:44 PM,Rejected-Finance,2nd Lowest,04-Jun-2022 10:47 AM,Technical,Bid opening summary,Sudhir Kumar Gupta,26-May-2022 09:26 AM,technical_91739.pdf,1.0,283138.0,P K Construction Shimla Pvt Ltd,INR,"2,006,333",Finance,Bid opening summary,Sudhir Kumar Gupta,29-May-2022 01:02 PM,finance_91739.pdf,BOQ Comparative Chart,PWD,2022_PWD_60724_1,SD-I-CTR-Tender-2022-2023-2358 dt 10-5-2022,Annual surfacing on Chharabra to Kalyani Helipad Km.0/00 to 1/200,ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,26-May-2022 09:27 AM,26-May-2022 10:30 AM,techsummary_91739.pdf (852.58 KB),ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,04-Jun-2022 10:47 AM,finsummary_91739.pdf (974.02 KB),04-Jun-2022,"INR 2,059,817",30.0,Sudhir Kumar Gupta,04-Jun-2022 10:48 AM,AOC60724_1.pdf (974.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,283138.0,P K Construction Shimla Pvt Ltd,20-May-2022 05:05 PM,Accepted-AOC,Awarded,04-Jun-2022 10:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.26.2a,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
