Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
17-Nov-2021 11:00 AM,24-Nov-2021 11:00 AM,17-Nov-2021 11:00 AM,23-Nov-2021 06:00 PM,NA ,NA ,17-Nov-2021 11:00 AM,23-Nov-2021 06:00 PM,15-Dec-2021 11:00 AM,PWD,PW-SRDD-CB-CTR-21-11892 dated 03-11-2021,2021_PWD_53653_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,ICICI BANK,C/o Link road from Chebri to Chowki km. 0/00 to 0/700,"SH- Providing and Laying G-I, C/O R/wall in km. 0/435 to 0/460, 0/480 to 0/500 and 0/575 to 0/600 and Hume pipe Culvert at Various Rds.",as per tender documents ,NA ,"27,54,547",Civil Works - Roads,NA ,Tender,75.0,60.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,"48,900",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,Executive Engineer,Shimla Rural Division HPPWD Dhami,AOC,1.0,243532.0,MANOHAR SINGH,INR,"4,235,373",Finance,Bid opening summary,Naveen Singh Kaundal,12-Jan-2022 01:30 PM,finance_80316.pdf,BOQ Comparative Chart,1.0,244126.0,Champa sharma,23-Nov-2021 04:48 PM,Rejected-Finance,L3 Bidder,12-Jan-2022 01:34 PM,Technical,Bid opening summary,Naveen Singh Kaundal,24-Nov-2021 03:38 PM,technical_80316.pdf,Er Maan Singh,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,14-Dec-2021 04:41 PM,15-Dec-2021 11:00 AM,techsummary_80316.pdf (539.16 KB),PWD,2021_PWD_53653_1,PW-SRDD-CB-CTR-21-11892 dated 03-11-2021,C/o Link road from Chebri to Chowki km. 0/00 to 0/700,30-Jun-2022,"INR 6,021,715",60.0,Sudhir Kumar Gupta,30-Jun-2022 04:50 PM,53653-1.pdf (529.00 KB),AOC,Er Maan Singh,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,12-Jan-2022 01:34 PM,finsummary_80316.pdf (199.07 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,244203.0,Chiranji Lal,23-Nov-2021 04:15 PM,Rejected-Finance,L5 Bidder,12-Jan-2022 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,244291.0,JAGDISH KUMAR,23-Nov-2021 03:24 PM,Rejected-Technical,Non-responsive,14-Dec-2021 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,243927.0,kamal kumar,23-Nov-2021 01:44 PM,Rejected-Technical,Non-responsive,14-Dec-2021 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand as Per General Rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,244360.0,Karnail Singh,23-Nov-2021 05:01 PM,Rejected-Finance,L2 Bidder,12-Jan-2022 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,243532.0,MANOHAR SINGH,23-Nov-2021 01:28 PM,Accepted-AOC,L1 Bidder,30-Jun-2022 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7.0,243992.0,NARENDER SHARMA,22-Nov-2021 02:57 PM,Rejected-Technical,Non-responsive,14-Dec-2021 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8.0,243521.0,vivek sharma,22-Nov-2021 11:29 AM,Rejected-Finance,L4 Bidder,12-Jan-2022 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
