Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Tender Stage
28-Aug-2021 10:00 AM,04-Sep-2021 11:30 AM,28-Aug-2021 10:00 AM,03-Sep-2021 05:00 PM,NA ,NA ,28-Aug-2021 10:00 AM,03-Sep-2021 05:00 PM,08-Oct-2021 11:30 AM,"21,100",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,PWD,No.PWC-WA-II/ 6451-550 dated 18.08.2021,2021_PWD_51730_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,ICICI BANK,Improvement of blackspot on Chamba Sahu Kiri road Km. 0/0 to 21/0 Construction of Retaining wall at RD 17/695-720,Improvement of blackspot on Chamba Sahu Kiri road Km. 0/0 to 21/0 Construction of Retaining wall at RD 17/695-720,Please refer Tender documents. ,NA ,"10,52,952",Civil Works,NA ,Tender,75.0,90.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,500.0,Nil,Nil,No,AOC,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,04-Oct-2021 07:29 PM,08-Oct-2021 11:30 AM,techsummary_77336.pdf (227.80 KB),PWD,2021_PWD_51730_2,No.PWC-WA-II/ 6451-550 dated 18.08.2021,Improvement of blackspot on Chamba Sahu Kiri road Km. 0/0 to 21/0 Construction of Retaining wall at RD 17/695-720,1.0,233833.0,Ram Singh,03-Sep-2021 12:13 PM,Rejected-Finance,3rd lowest,20-Nov-2021 06:34 PM,Technical,BOQ,Jeet Singh Thakur,04-Oct-2021 07:05 PM,technical_77336.pdf,AOC
,,,,,,,,,,,,,,,,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,233466.0,ubed ali shah,02-Sep-2021 05:07 PM,Accepted-AOC,Work completed and Earnest Money may be released,29-Jun-2022 05:51 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,233858.0,UMESH KUMAR MAHAJAN,03-Sep-2021 04:18 PM,Rejected-Finance,2nd lowest,20-Nov-2021 06:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,233355.0,VISHAL KUMAR,02-Sep-2021 01:16 PM,Rejected-Finance,4th lowest,20-Nov-2021 06:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8 ,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Detail of Machinarhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Detail of on going work /work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
