S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage
1.0,231370.0,BALAL,INR,"1,398,889.4",Finance,Attached,Vivek Sharma,29-Sep-2021 05:46 PM,finance_76701.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,08-Sep-2021 06:27 PM,technical_76701.pdf,1.0,231370.0,BALAL,21-Aug-2021 03:06 PM,Accepted-AOC,l1,26-Jun-2022 01:20 PM,26-Jun-2022,"INR 1,398,889",30.0,Vivek Sharma,26-Jun-2022 01:20 PM,KirwiAward.pdf (838.00 KB),Awad,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,29-Sep-2021 05:51 PM,finsummary_76701.pdf (718.87 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,08-Sep-2021 06:33 PM,09-Sep-2021 03:30 PM,techsummary_76701.pdf (906.66 KB),PWD,2021_PWD_51313_1,C/O of link roadKirwin vill Droud km 0/0 to 1/800,Construction of link road from Kirwin to village Droud km 0/0 to 1/800.,AOC,"33,400",No,fixed,,Nil,Nil,17-Aug-2021 09:00 AM,23-Aug-2021 11:25 AM,17-Aug-2021 09:00 AM,23-Aug-2021 10:25 AM,NA ,NA ,17-Aug-2021 09:00 AM,23-Aug-2021 10:25 AM,09-Sep-2021 03:30 PM,PWD,C/O of link roadKirwin vill Droud km 0/0 to 1/800,2021_PWD_51313_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of link road from Kirwin to village Droud km 0/0 to 1/800.,SH Improvement of curves at RD 0/090 to 0/180 Improvement of gradient at RD 0/465 to 0/570 Construction retaining walls and CD works etc,Please refer Tender documents. ,NA ,"17,21,870",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2.0,231506.0,BRAHAM DASS SHARMA,22-Aug-2021 08:10 PM,Rejected-Finance,l2,29-Sep-2021 05:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,3.0,230564.0,Japan Singh,22-Aug-2021 12:47 PM,Rejected-Finance,l5,29-Sep-2021 05:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,AOC
,,,,,,,,,,,,,,,,4.0,231342.0,JEET CHAND GOVT. CONTRACTOR,21-Aug-2021 12:17 PM,Rejected-Finance,l4,29-Sep-2021 05:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,AOC
,,,,,,,,,,,,,,,,5.0,231481.0,sonam soni,22-Aug-2021 12:26 PM,Rejected-AOC,l3,26-Jun-2022 01:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per General rules and direction-26.2(b),,,,,AOC
