EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"45,450",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,07-Apr-2022 11:00 AM,16-Apr-2022 11:30 AM,07-Apr-2022 11:00 AM,16-Apr-2022 11:00 AM,NA ,NA ,07-Apr-2022 11:00 AM,16-Apr-2022 11:00 AM,26-Apr-2022 11:00 AM,1.0,ICICI BANK,Er. B.M. Thakur,Palampur Division HPPWD Palampur,Construction of Cow Sanctuary at Kudan in Tehsil Palampur Distt. Kangra (HP) (SW- Construction of Cow Shed Building (Shed No. 2),Construction of Cow Sanctuary at Kudan in Tehsil Palampur Distt. Kangra (HP) (SW- Construction of Cow Shed Building (Shed No. 2),Please refer Tender documents. ,NA ,"25,27,819",Civil Works - Buildings,NA ,Rate Contract,120.0,120.0,Palampur,176061.0,NA ,NA ,NA ,Palampur Division HP.PWD Palampur,No ,No,"1,500",Nil,Nil,No,PWD,NIT No.23365-414 dated 23.03.2022,2022_PWD_59145_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,PWD,2022_PWD_59145_1,NIT No.23365-414 dated 23.03.2022,Construction of Cow Sanctuary at Kudan in Tehsil Palampur Distt. Kangra (HP) (SW- Construction of Cow Shed Building (Shed No. 2),Er.B.M Thakur,Internal,"T/A, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,25-Apr-2022 05:27 PM,26-Apr-2022 11:00 AM,techsummary_89552.pdf (337.87 KB),Er.B.M Thakur,Internal,"T/A, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,27-Apr-2022 12:42 PM,finsummary_89552.pdf (182.37 KB),01-Jun-2022,"INR 2,527,819",120.0,Vineet Kumar Sharma,11-Jan-2024 04:10 PM,59145.pdf (321.00 KB),AOC,Finance,Financial bid opening summary,Manoj Sood,27-Apr-2022 12:13 PM,finance_89552.pdf,BOQ Comparative Chart,1.0,277795.0,SUNIL DUTT SHARMA,INR,"3,531,324",1.0,277795.0,SUNIL DUTT SHARMA,16-Apr-2022 10:41 AM,Accepted-AOC,AOC,11-Jan-2024,Technical,Technical Evaluation,Manoj Sood,25-Apr-2022 05:24 PM,technical_89552.pdf
,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,277721.0,VIKAS RANA GOVT. CONTRACTOR,15-Apr-2022 04:46 PM,Rejected-Finance,Bidder is found L2,27-Apr-2022,,,,,
,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,277366.0,Vishal Rana,15-Apr-2022 11:55 AM,Rejected-Technical,Non-Responsive,25-Apr-2022,,,,,
,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
