S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,285382.0,TILAK RAJ,INR,"461,213.62",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_61154_1,184619/DB/2022-23-1329-36 Dated 26.05.2022,"Tender for replacement of 64 Nos rotten wooden poles from existing 25 kVA, 22/0.4 kV Sub-Station Sanoi-2nd and 25KVA 22/0.4KV Nehra under Electrical Sub-Division HPSEBL Karsog.","Sr. Executive Engineer, Electrical Division HPSEBL, Karsog",Internal,Attached,Sushil Kumar,17-Jun-2022 04:42 PM,finsummary_92289.pdf (442.87 KB),Finance,Attached,Sushil Kumar,17-Jun-2022 04:12 PM,None,BOQ Comparative Chart,Technical,Attached,Sushil Kumar,06-Jun-2022 05:17 PM,technical_92289.pdf,17-Jun-2022,"INR 669,136",90.0,Sushil Kumar,17-Jun-2022 05:23 PM,AwardJobNo.39.pdf (2490.00 KB),Awarded to M/S Tilak Raj(L-1) Which found lowest,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,06-Jun-2022 05:22 PM,06-Jun-2022 05:30 PM,techsummary_92289.pdf (486.38 KB),1.0,284747.0,Koyla Engineering Works,04-Jun-2022 01:40 PM,Rejected-Finance,L2,17-Jun-2022 04:42 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"Tender for replacement of 64 Nos rotten wooden poles from existing 25 kVA, 22/0.4 kV Sub-Station Sanoi-2nd and 25KVA 22/0.4KV Nehra under Electrical Sub-Division HPSEBL Karsog.","Tender for replacement of 64 Nos rotten wooden poles from existing 25 kVA, 22/0.4 kV Sub-Station Sanoi-2nd and 25KVA 22/0.4KV Nehra under Electrical Sub-Division HPSEBL Karsog.",please refer tender document  ,N/A ,"6,69,136",Supply and Erection,Electrical Works ,Tender,180.0,90.0,Karsog,175011.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,"1,180",Nil,Nil,No,1.0,ICICI BANK,"Sr. Executive Engineer, ED Karsog","Office of Sr. Executive Engineer,ED Karsog",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2022-23-1329-36 Dated 26.05.2022,2022_HPSEB_61154_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,27-May-2022 04:55 PM,06-Jun-2022 12:00 PM,28-May-2022 05:00 PM,06-Jun-2022 10:30 AM,NA ,NA ,28-May-2022 05:00 PM,06-Jun-2022 10:30 AM,06-Jun-2022 05:30 PM,"16,728",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285055.0,M/s M.S. Electrical and Engineering works,03-Jun-2022 11:02 PM,Rejected-Finance,L3,17-Jun-2022 04:42 PM,AOC,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285382.0,TILAK RAJ,06-Jun-2022 08:36 AM,Accepted-AOC,Found lowest as compare to all the bidders hence tender has been awarded to L-1 contractor,17-Jun-2022 05:23 PM,AOC,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
