Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_61152_1,184619/DB/2022-23-1329-36 Dated 26.05.2022,Tender for replacement of 50 Nos rotten wooden poles from existing 25 kVA 22/0.4 kV Sub Station Sanoi-1st under Electrical Sub-Division HPSEBL Karsog.,1.0,285380.0,TILAK RAJ,INR,"405,220.26","Sr. Executive Engineer, Electrical Division HPSEBL, Karsog",Internal,Attached,Sushil Kumar,17-Jun-2022 04:35 PM,finsummary_92286.pdf (441.49 KB),17-Jun-2022,"INR 587,609",90.0,Sushil Kumar,17-Jun-2022 05:07 PM,AwardJobNo.37.pdf (2474.00 KB),Awarded to M/S Tilak Raj(L-1) Which found lowest,Finance,Attached,Sushil Kumar,17-Jun-2022 04:07 PM,finance_92286.pdf,BOQ Comparative Chart,Technical,Attached,Sushil Kumar,06-Jun-2022 05:13 PM,None,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,06-Jun-2022 05:36 PM,06-Jun-2022 05:45 PM,techsummary_92286.pdf (466.99 KB),1.0,284746.0,Koyla Engineering Works,04-Jun-2022 01:41 PM,Rejected-Finance,L2,17-Jun-2022 04:35 PM,AOC,"14,690",No,fixed,,Nil,Nil,1.0,ICICI BANK,"Sr. Executive Engineer, Electrical Division HPSEB","Office of Sr. Executive Engineer,ED Karsog","1,180",Nil,Nil,No,Tender for replacement of 50 Nos rotten wooden poles from existing 25 kVA 22/0.4 kV Sub Station Sanoi-1st under Electrical Sub-Division HPSEBL Karsog.,Tender for replacement of 50 Nos rotten wooden poles from existing 25 kVA 22/0.4 kV Sub Station Sanoi-1st under Electrical Sub-Division HPSEBL Karsog.,please refer tender document  ,N/A ,"5,87,609",Supply and Erection,Electrical Works ,Tender,180.0,90.0,Karsog,175011.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,27-May-2022 04:55 PM,06-Jun-2022 12:00 PM,28-May-2022 05:00 PM,06-Jun-2022 10:30 AM,NA ,NA ,28-May-2022 05:00 PM,06-Jun-2022 10:30 AM,06-Jun-2022 05:45 PM,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2022-23-1329-36 Dated 26.05.2022,2022_HPSEB_61152_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285064.0,M/s M.S. Electrical and Engineering works,03-Jun-2022 11:18 PM,Rejected-Finance,L3,17-Jun-2022 04:35 PM,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285380.0,TILAK RAJ,06-Jun-2022 08:32 AM,Accepted-AOC,Found lowest as compare to all the bidders hence tender has been awarded to L-1 contractor,17-Jun-2022 05:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
