Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
23-Dec-2021 05:00 PM,06-Jan-2022 11:30 AM,23-Dec-2021 05:00 PM,05-Jan-2022 05:00 PM,NA ,NA ,23-Dec-2021 05:00 PM,05-Jan-2022 05:00 PM,28-Jan-2022 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest money,1.0,ICICI BANK,"2,500",EE JSD Anni,EE JSD Anni,Yes,EE JSD ANNI,EE JSD Anni,Command Area Development work in FIS Kurpan Kuhl in Nirmand Block Distt. Kullu (H.P.),"Laying , jointing of HDPE pipes 315mm Od PN-6(PE-63 in main gravity line (IIIrd Phase) , distribution line of various diameters (90mm to 125mm OD) class pressure at different RDs B.P tanks , intake take off chambers, out lets",Please refer Tender documents. ,NA ,"5,69,17,349",Civil Works,NA ,Tender,120.0,360.0,Nirmand,172023.0,Chief Engineer (MZ) JSV Mandi ,Chief Engineer (MZ) JSV Mandi ,31-Dec-2021 11:30 AM ,EE JSD Anni,No ,No,"5,69,200",Yes,fixed,,EE JSD Anni,EE JSD Anni,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Anni,Irrigation and Public Health,HP",17561-17610(Anni-I),2021_HPIPH_54968_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC,Finance,Summary,AJEET KUMAR NEGI,07-Jun-2022 04:07 PM,finance_82427.pdf,BOQ Comparative Chart,Technical,Summary,AJEET KUMAR NEGI,28-Jan-2022 04:26 PM,technical_82427.pdf,07-Jun-2022,"INR 62,757,423",360.0,AJEET KUMAR NEGI,07-Jun-2022 04:14 PM,AOCKURPANFIS.pdf (254.00 KB),AOC,Er.Ajeet Negi,Internal,Committee,AJEET KUMAR NEGI,28-Jan-2022 04:28 PM,28-Jan-2022 04:30 PM,techsummary_82427.pdf (377.31 KB),1.0,253804.0,Dogra Construction Company Pvt Ltd,04-Jan-2022 04:57 PM,Rejected-AOC,L2,07-Jun-2022 04:14 PM,Er.Ajeet Negi,Internal,Committee,AJEET KUMAR NEGI,07-Jun-2022 04:11 PM,finsummary_82427.pdf (1265.37 KB),1.0,253745.0,MOHAN LAL THAKUR,INR,"62,757,423","HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Anni,Irrigation and Public Health,HP",2021_HPIPH_54968_1,17561-17610(Anni-I),Command Area Development work in FIS Kurpan Kuhl in Nirmand Block Distt. Kullu (H.P.),AOC
,,,,,,,,,,,.pdf,Cost of Form,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,253745.0,MOHAN LAL THAKUR,03-Jan-2022 06:25 PM,Accepted-AOC,L1,07-Jun-2022 04:14 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Certificate of contractor registration in appropriate class with HP Jal Shakti Vibhag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"PAN No., GST registration Copy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Scanned copy of undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Authorization letter regarding digital signature certificate (DSC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"Average annual financial turnover during last 3 years,, ending 31st March of the previous financial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Experience certificate (issued by the officer not below the rank of Executive Engineer) of having,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,EPF No. Before award of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
