S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,17-May-2022 06:30 PM,25-May-2022 11:30 AM,17-May-2022 06:30 PM,24-May-2022 06:00 PM,17-May-2022 06:30 PM ,21-May-2022 06:00 PM ,17-May-2022 06:30 PM,24-May-2022 06:00 PM,03-Jun-2022 03:30 PM,"55,000",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,Construction of road from Badhal Bridge to Jambal Bassi via Kanol Paniamal road in Km 0/00 to 3/200,C/o Embankent at RD 2/400 to 3/200 ( Under Industrial Corridoor ),Please refer to tender documents  ,NA ,"27,72,000",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,Executive Engineer,HPPWD Division Dehra,PWD,EE Dehra Letter No.1277-82 dated 05.05.2022,2022_PWD_60703_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,PWD,2022_PWD_60703_8,EE Dehra Letter No.1277-82 dated 05.05.2022,Construction of road from Badhal Bridge to Jambal Bassi via Kanol Paniamal road in Km 0/00 to 3/200,EE Dehra,Internal,"HDM, Supdt DAO",Dinesh Kumar Dhiman,01-Jun-2022 06:58 PM,03-Jun-2022 03:30 PM,techsummary_91720.pdf (566.93 KB),EE Dehra,Internal,"HDM, Supdt, DAO",Dinesh Kumar Dhiman,19-Jun-2022 05:14 PM,finsummary_91720.pdf (566.93 KB),19-Jun-2022,"INR 2,772,000",30.0,Dinesh Kumar Dhiman,19-Jun-2022 05:22 PM,Badhal_2022_PWD_60703_8.pdf (672.00 KB),Award letter,1.0,283492.0,HARBANS SINGH,24-May-2022 02:58 PM,Rejected-Technical,Not attached as per GCC Cl. 18 And Enlistment validity expired,01-Jun-2022 06:58 PM,Technical,Technical bid opened on 25.05.2022,Dinesh Kumar Dhiman,01-Jun-2022 06:17 PM,technical_91720.pdf,1.0,282723.0,VISHAL DHIMAN GOVT CONTRACTOR,INR,"1,940,400",Finance,Financial bid opened,Dinesh Kumar Dhiman,19-Jun-2022 05:06 PM,finance_91720.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283236.0,SUBHASH CHAND,24-May-2022 01:05 PM,Rejected-Finance,Being L3,19-Jun-2022 05:14 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,283531.0,SUMIT KUMAR GOVT. CONTRACTOR,24-May-2022 10:20 AM,Rejected-Technical,Not attached as per GCC Cl. 18,01-Jun-2022 06:58 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,282723.0,VISHAL DHIMAN GOVT CONTRACTOR,24-May-2022 06:55 AM,Accepted-AOC,work awarded,19-Jun-2022 05:22 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
