Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
EE,Internal,Assistant Engineer Superintendent and senior assistant,Jeet Singh Thakur,24-Dec-2021 06:47 PM,finsummary_78342.pdf (289.07 KB),29-Jun-2022,"INR 1,150,634",60.0,Jeet Singh Thakur,29-Jun-2022 06:18 PM,12288.pdf (495.00 KB),Construction of Magla to Tapoon jeepable road Km. 2/650 to 9/0 (SH Const.of R/wall at various RDs),PWD,2021_PWD_52400_7,No.PWC-7521-7620 dated 6-9-2021,Construction of Magla to Tapoon jeepable road Km. 2/650 to 9/0 (SH Const.of R/wall at various RDs),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,28-Oct-2021 07:30 PM,02-Nov-2021 11:30 AM,techsummary_78342.pdf (230.33 KB),Technical,BOS,Jeet Singh Thakur,28-Oct-2021 06:54 PM,technical_78342.pdf,1.0,237608.0,Darshan Kumar,23-Sep-2021 09:02 PM,Rejected-Finance,4th lowest,24-Dec-2021 06:47 PM,Finance,BOS,Jeet Singh Thakur,24-Dec-2021 06:38 PM,finance_78342.pdf,BOQ Comparative Chart,1.0,237160.0,NADEEM ALI SHAH,INR,"2,151,200",AOC,Construction of Magla to Tapoon jeepable road Km. 2/650 to 9/0 (SH Const.of R/wall at various RDs),Construction of Magla to Tapoon jeepable road Km. 2/650 to 9/0 (SH Const.of R/wall at various RDs),Please refer Tender documents. ,NA ,"11,50,634",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,PWD,No.PWC-7521-7620 dated 6-9-2021,2021_PWD_52400_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,18-Sep-2021 10:00 AM,25-Sep-2021 11:30 AM,18-Sep-2021 10:00 AM,24-Sep-2021 05:00 PM,NA ,NA ,18-Sep-2021 10:00 AM,24-Sep-2021 05:00 PM,02-Nov-2021 11:30 AM,500.0,Nil,Nil,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,1.0,ICICI BANK,"23,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,237160.0,NADEEM ALI SHAH,23-Sep-2021 12:31 PM,Accepted-AOC,work completed and Earnest Money may be released,29-Jun-2022 06:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,237605.0,RAJNI DEVI,24-Sep-2021 04:19 PM,Rejected-Finance,3rd lowest,24-Dec-2021 06:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,237676.0,Raj Thakur,24-Sep-2021 12:48 PM,Rejected-Finance,2nd lowest,24-Dec-2021 06:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
