Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Empanelment of agencies for printing of indoor and outdoor IEC materials under JJM,Empanelment of agencies for printing of indoor and outdoor IEC materials under JJM Assam,Please refer Tender documents. ,NA ,0.0,Miscellaneous Services,NA ,Empanelment,120.0,365.0,All Assam,781036.0,NA ,NA ,NA ,O O CE PHE Water Assam,No ,No,"2,000",Nil,Nil,No,06-Sep-2021 10:00 AM,28-Sep-2021 03:00 PM,06-Sep-2021 10:00 AM,27-Sep-2021 04:00 PM,NA ,NA ,06-Sep-2021 10:00 AM,27-Sep-2021 04:00 PM,08-Dec-2021 02:00 PM,1.0,Corrigendum No. 1,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents as per Bid Document and Bid Security if in the form of BG,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,JJMA_03_PROC_2021_5820_26,2021_PHED_22744_1,Yes,Open Tender,Empanelment,Services,2.0,No,No,Online,No,No,No,1.0,SBI Bank,CE PHE Water Assam,"Hengrabari, Guwahati-36","2,00,000",Yes,fixed,,Nil,Nil,AOC,Technical,Technical Opening Summary,Munmun Das,22-Oct-2021 05:25 PM,technical_35128.pdf,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||Lower Assam Zone-Guwahati-PHED||Guwahati Circle-Guwahati-PHED,2021_PHED_22744_1,JJMA_03_PROC_2021_5820_26,Empanelment of agencies for printing of indoor and outdoor IEC materials under JJM,1,123637,A.R.T. ENTERTAINMENT & SERVICES PRIVATE LIMITED,27-Sep-2021 12:07 PM,Not Admitted-Finance,Price Bid not complied,24-Dec-2021 06:28 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2,123381,Baju Associates,27-Sep-2021 02:14 PM,Accepted-AOC,Awarded,01-Jun-2022 04:51 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,3,123425,Balaji Industries Bamunimaidan,27-Sep-2021 01:16 PM,Not Admitted-Finance,Price Bid not complied,24-Dec-2021 06:28 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,4,123344,City Heart Offset,27-Sep-2021 03:19 PM,Accepted-AOC,Awarded,01-Jun-2022 04:51 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,5,123508,DESTINY PRINTING PRESS,27-Sep-2021 10:01 AM,Rejected-AOC,Not Awarded,01-Jun-2022 04:51 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,6,123394,GYANAM,27-Sep-2021 12:15 PM,Accepted-AOC,Awarded,01-Jun-2022 04:51 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,7,123340,MAA MANASHA PRINTERS,27-Sep-2021 03:07 PM,Rejected-AOC,Not Awarded,01-Jun-2022 04:51 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,8,123530,M/S Sanchipat Multimedia,27-Sep-2021 11:33 AM,Not Admitted-Finance,Price Bid not complied,24-Dec-2021 06:28 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,9,123670,OUTREACH ADVERTISING PRIVATE LIMITED,27-Sep-2021 11:59 AM,Not Admitted-Finance,Price Bid not complied,24-Dec-2021 06:28 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,10,123356,PRADIP ADVERTISING & CO.,27-Sep-2021 02:46 PM,Rejected-Technical,Technically nonresponsive,03-Dec-2021 05:39 PM,AOC
