Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,06-Dec-2021 05:37 PM,finance_79925.pdf,BOQ Comparative Chart,1.0,242613.0,SUMIT KUMAR,INR,"2,605,550",Technical,Bids List,Rajesh Kumar,20-Nov-2021 04:43 PM,technical_79925.pdf,1.0,242713.0,aman kumar,15-Nov-2021 04:34 PM,Rejected-Finance,Not L-1,06-Dec-2021 06:18 PM,18-Dec-2021,"INR 2,072,401",60.0,Rajesh Kumar,06-Jun-2022 09:22 AM,Awardletter.pdf (1019.00 KB),Awardletter,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,06-Dec-2021 06:18 PM,finsummary_79925.pdf (479.03 KB),"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,01-Dec-2021 05:04 PM,06-Dec-2021 10:00 AM,techsummary_79925.pdf (679.80 KB),PWD,2021_PWD_53428_1,Job 2 Construction of Link Road from Kuthar Beet,Job 2 Construction of Link Road from Kuthar Beet to Abadi Jodian Tehsil Haroli Distt. Una Sub Head C.O C.C. Pavement in km . 0-405 and 0-800 Under OTMNP,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,1.0,ICICI BANK,Job 2 Construction of Link Road from Kuthar Beet to Abadi Jodian Tehsil Haroli Distt. Una Sub Head C.O C.C. Pavement in km . 0-405 and 0-800 Under OTMNP,Job 2 Construction of Link Road from Kuthar Beet to Abadi Jodian Tehsil Haroli Distt. Una Sub Head C.O C.C. Pavement in km . 0-405 and 0-800 Under OTMNP,Please refer to Bidding Documents ,NA ,"20,72,401",Civil Works - Roads,NA ,Tender,75.0,60.0,Una,174306.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"38,600",No,fixed,,Nil,Nil,PWD,Job 2 Construction of Link Road from Kuthar Beet,2021_PWD_53428_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",11-Nov-2021 04:00 PM,17-Nov-2021 11:00 AM,11-Nov-2021 04:30 PM,17-Nov-2021 09:00 AM,NA ,NA ,11-Nov-2021 04:30 PM,17-Nov-2021 09:00 AM,06-Dec-2021 10:00 AM,AOC
,,,,,,,,,,,,,,,,2.0,242499.0,Ankur sharma,15-Nov-2021 08:42 PM,Rejected-Technical,As per Evaluaton Bids,01-Dec-2021 05:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money through online,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,242741.0,Nitish Thakur,15-Nov-2021 07:28 PM,Rejected-Technical,As per Evaluation Bids,01-Dec-2021 05:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,242584.0,PRABHJOT SINGH GOVT CONTRACTOR,15-Nov-2021 08:24 PM,Rejected-Technical,As per Evaluation Bids,01-Dec-2021 05:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,242645.0,Ram Sahore Govt Contractor,15-Nov-2021 03:21 PM,Rejected-Technical,As per Evaluation Bids,01-Dec-2021 05:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,E.P.F. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,242613.0,SUMIT KUMAR,15-Nov-2021 03:05 PM,Accepted-AOC,ok,06-Jun-2022 09:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN Card issued by Income Tax Authorities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
