S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No.2,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
1.0,261081.0,shubham construction,INR,"3,020,339",Finance,Bid opening summary,Parveen Kumar Verma,24-Feb-2022 02:06 PM,finance_84550.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Parveen Kumar Verma,21-Feb-2022 05:21 PM,technical_84550.pdf,1.0,261083.0,Neeraj Kumar Choudhary,19-Feb-2022 08:49 AM,Rejected-Finance,Reject,24-Feb-2022,09-Jun-2022,"INR 3,020,339",30.0,Bhupender Singh,07-Jul-2023 01:10 PM,SubhamAOC.pdf (503.00 KB),AOC,EEDivisionNo-III,Internal,GopalsinghSr.Asstt.R.S.ThakurSupdtt.PadamSharmaHDM,Parveen Kumar Verma,24-Feb-2022 02:09 PM,finsummary_84550.pdf (263.56 KB),EEShimla Division No-III,Internal,GopalSinghSr.Asstt.R.S.ThakurSupdtt. PadamSharmaHDM,Parveen Kumar Verma,21-Feb-2022 05:37 PM,22-Feb-2022 11:00 AM,techsummary_84550.pdf (293.31 KB),PWD,2022_PWD_56241_2,SD-II-CB-Tnder/22-25842-59 dated21-01-2022,Annual surfacing on road from Navbahar to Holly Lodge KMs 0/00 to 2/670 (SH- Providing renewal coat of 30mm thick bituminous concrete at KMs at RDs 1/00 to 2/670 under AMP for the year 2021-22),29-Jan-2022 06:00 PM,21-Feb-2022 11:00 AM,29-Jan-2022 06:00 PM,19-Feb-2022 06:00 PM,NA ,NA ,29-Jan-2022 06:00 PM,19-Feb-2022 06:00 PM,22-Feb-2022 11:00 AM,"1,500",Nil,Nil,No,PWD,SD-II-CB-Tnder/22-25842-59 dated21-01-2022,2022_PWD_56241_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3)Earnest Money as per schedule F (6.5) on line mode o,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,Deadline for submission of Bid,Date,,"57,700",No,fixed,,Nil,Nil,1.0,ICICI BANK,Annual surfacing on road from Navbahar to Holly Lodge KMs 0/00 to 2/670 (SH- Providing renewal coat of 30mm thick bituminous concrete at KMs at RDs 1/00 to 2/670 under AMP for the year 2021-22),Annual surfacing on road from Navbahar to Holly Lodge KMs 0/00 to 2/670 (SH- Providing renewal coat of 30mm thick bituminous concrete at KMs at RDs 1/00 to 2/670 under AMP for the year 2021-22),as per bidding documents ,NA ,"28,82,851",Civil Works,NA ,Tender,75.0,30.0,Near Holly lodge,171001.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No
,,,,,,,,,,,,,,,,2.0,261081.0,shubham construction,19-Feb-2022 08:40 AM,Accepted-AOC,L1,07-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
