S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Due Date Extended,Admin Corrigendum Date Extend,,Construction of link road from Mundla to Tikka Dhar to link village and Amtrar Km 2/900 to 5/660 including bridge over Joggal Khad at RD 3/056 in Distt Kangra (HP) (SH-Providing and laying wearing G-III and Tarring in Km 3/300 to 4/000).,Construction of link road from Mundla to Tikka Dhar to link village and Amtrar Km 2/900 to 5/660 including bridge over Joggal Khad at RD 3/056 in Distt Kangra (HP) (SH-Providing and laying wearing G-III and Tarring in Km 3/300 to 4/000).,Please refer Tender documents. ,NA ,"19,40,493",Civil Works - Roads,NA ,Tender,120.0,120.0,tanda,176002.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Tanda,No ,No,PWD,PWD- Civil-3235-64-Tanda,2021_PWD_49400_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"36,650",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender Form,03-Jul-2021 05:00 PM,21-Jul-2021 11:30 AM,03-Jul-2021 05:00 PM,20-Jul-2021 06:00 PM,NA ,NA ,03-Jul-2021 05:00 PM,20-Jul-2021 06:00 PM,26-Jul-2021 02:00 PM,Executive Engineer,Executive Engineer HP PWD Division Tanda,500.0,Nil,Nil,No,AOC,PWD,2021_PWD_49400_2,PWD- Civil-3235-64-Tanda,Construction of link road from Mundla to Tikka Dhar to link village and Amtrar Km 2/900 to 5/660 including bridge over Joggal Khad at RD 3/056 in Distt Kangra (HP) (SH-Providing and laying wearing G-III and Tarring in Km 3/300 to 4/000).,Dr Suresh Kumar Walia,Internal,Er Vinay AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,23-Jul-2021 02:15 PM,26-Jul-2021 02:00 PM,techsummary_73989.pdf (626.52 KB),Dr Suresh Kumar Walia,Internal,Er Vinay AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,29-Jul-2021 01:24 PM,finsummary_73989.pdf (191.53 KB),28-Sep-2022,"INR 1,940,493",120.0,Ankit Kumar,15-Jun-2022 12:44 PM,Atul.pdf (156.00 KB),Award,Finance,Sum,Ankit Kumar,28-Jul-2021 11:04 AM,finance_73989.pdf,BOQ Comparative Chart,1.0,223712.0,atul thakur,INR,"1,690,132",1.0,223450.0,Abhinav Thakur,19-Jul-2021 03:43 PM,Rejected-Finance,Lowest 3,29-Jul-2021 01:24 PM,Technical,SUM,Suresh Kumar Walia,23-Jul-2021 02:13 PM,technical_73989.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,223712.0,atul thakur,20-Jul-2021 11:25 AM,Accepted-AOC,L1,15-Jun-2022 12:44 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,223316.0,RANJNA DEVI,20-Jul-2021 10:40 AM,Rejected-Finance,Lowest 2,29-Jul-2021 01:24 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
