Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Attached,Vivek Sharma,06-Jan-2022 05:56 PM,finance_73887.pdf,BOQ Comparative Chart,1.0,221596.0,MSC Roads and Bridges Private Limited,INR,"6,591,529.26",Technical,Attached,Vivek Sharma,22-Jul-2021 06:19 PM,technical_73887.pdf,1.0,221059.0,Davinder kumar,07-Jul-2021 01:17 PM,Rejected-Technical,Rejected,23-Jul-2021 05:22 PM,25-Jun-2022,"INR 6,591,529",90.0,Vivek Sharma,25-Jun-2022 12:00 PM,AMPPMGSY3SubDivisionAward.pdf (1257.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,06-Jan-2022 05:59 PM,finsummary_73887.pdf (641.87 KB),EE Hamirpur,Internal,SupdtHDMSupdtABAEtoEE,Vivek Sharma,23-Jul-2021 05:22 PM,24-Jul-2021 02:00 PM,techsummary_73887.pdf (1807.57 KB),PWD,2021_PWD_49341_1,AMP Hamirpur Bhoranj Jahu road Km 2/690 to 9/0,Annual maintenance Plan for the year 2021-2022 and Widening and Metalling tarring of extended portion of MDR road under HPPWD Sub-Division Lambloo on Hamirpur Bhoranj Jahu road Km 2/690 to 9/0 MDR-35,AOC,Annual maintenance Plan for the year 2021-2022 and Widening and Metalling tarring of extended portion of MDR road under HPPWD Sub-Division Lambloo on Hamirpur Bhoranj Jahu road Km 2/690 to 9/0 MDR-35,SH i Providing and laying 30mm BC extension of culvert and V-shape drain under AMP in Km 2/690 to 9/0 ii Widening and Providing and laying GSB WMM BM and BC in extended portion Km 5/500 to 7/405,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,ICICI BANK,"2,13,200",No,fixed,,Nil,Nil,EE Hamirpur,Executive Engineer HPPWD HAmirpur,02-Jul-2021 09:00 AM,08-Jul-2021 11:30 AM,02-Jul-2021 09:00 AM,08-Jul-2021 10:30 AM,NA ,NA ,02-Jul-2021 09:00 AM,08-Jul-2021 10:30 AM,24-Jul-2021 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"5,000",Nil,Nil,No,PWD,AMP Hamirpur Bhoranj Jahu road Km 2/690 to 9/0,2021_PWD_49341_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,221882.0,KASMIR SINGH CONTACTOR,07-Jul-2021 05:10 PM,Rejected-Technical,Rejected,23-Jul-2021 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand/work done detail counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,221596.0,MSC Roads and Bridges Private Limited,07-Jul-2021 03:12 PM,Accepted-AOC,l1,25-Jun-2022 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,221896.0,Piar Chand Chauhan,07-Jul-2021 05:27 PM,Rejected-Finance,l3,06-Jan-2022 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,221150.0,S.S.Chauhans Construction Private Limted,07-Jul-2021 04:36 PM,Rejected-Finance,l2,06-Jan-2022 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery.",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in radius of 30km for execution work,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,having NOC from State Pollution Control Board.,,,,,,,,,,,,,,,,,,,AOC
