Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,2022_PWD_23953_2,CE/Commn/30/RIDF-27/21-22/Ph-2,RE/RIDF-27/Rupahihat/1_Silghat to Dhing,1,130623,AFTAB UDDIN AHMED,22-Jan-2022 01:47 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2022 02:40 PM,Technical,TBE,CHANDAN DEKA,05-Feb-2022 02:40 PM,technical_36749.pdf,AOC,"10,000","Empowered Officer, Assam State Road Board",GUWAHATI,No,"13,16,000",Yes,fixed,,"Chief Engineer, PWD, (Roads), Assam",GUWAHATI,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Document,1.0,DD - Demand Draft,Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,CE/Commn/30/RIDF-27/21-22/Ph-2,2022_PWD_23953_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Regarding Bid Securiiy,Technical Bid,,RE/RIDF-27/Rupahihat/1_Silghat to Dhing,"Construction of Roads on River embankment B Dyke from Silghat to Dhing, Ch. 34000m to 38000.00m under RIDF-XXVII of NABARD for the year 2021-22",Please refer Tender documents. ,NA ,"6,57,80,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Rupohihat,782001.0,NA ,NA ,NA ,"O/o the C.E. PWD (Roads), Assam",No ,No,04-Jan-2022 09:00 AM,24-Jan-2022 02:30 PM,04-Jan-2022 09:00 AM,24-Jan-2022 02:00 PM,04-Jan-2022 09:00 AM ,24-Jan-2022 12:00 PM ,04-Jan-2022 09:00 AM,24-Jan-2022 02:00 PM,07-Feb-2022 09:30 AM,"C.E. PWD (Roads), Assam","O/o the C.E. PWD (Roads), Assam",AOC
,,,,2,130765,GUNJ ASSOCIATES,24-Jan-2022 10:46 AM,Rejected-AOC,Not awarded,09-Jun-2022 01:11 PM,,,,,,AOC,,,,,,,,,,,,,.pdf,Bid Security,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3,130789,JYOTI CONSTRO COMMERCIALS,24-Jan-2022 11:51 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2022 02:40 PM,,,,,,AOC,,,,,,,,,,,,,.pdf,Technical qualification details,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4,130674,Md. Jakir Hussain,23-Jan-2022 11:09 PM,Rejected-AOC,Not awarded,09-Jun-2022 01:11 PM,,,,,,AOC,,,,,,,,,,,2.0,Finance,.pdf,Form of Bid,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,130750,MD SOIDUR RAHMAN,24-Jan-2022 11:58 AM,Rejected-AOC,Not awarded,09-Jun-2022 01:11 PM,,,,,,AOC,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,130764,M/S ANKUR ENTERPRISE,24-Jan-2022 11:00 AM,Rejected-AOC,Not awarded,09-Jun-2022 01:11 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,7,130478,NAZRUL ISLAM LASKAR,24-Jan-2022 12:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2022 02:40 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,8,130657,Ramawtar Agarwala,22-Jan-2022 07:38 PM,Accepted-AOC,awarded,09-Jun-2022 01:11 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,9,130733,Ramesh Kr. Agarwalla,23-Jan-2022 08:28 PM,Rejected-AOC,Not awarded,09-Jun-2022 01:11 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,10,129925,Rishabh Jain,18-Jan-2022 12:44 AM,Rejected-AOC,Not awarded,09-Jun-2022 01:11 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
