Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. J.K. Gupta,Internal,AE Padhar HDM Supdt. Divn. Accountant(P),Jitender Kumar,15-Jun-2022 05:01 PM,finsummary_89319.pdf (405.79 KB),15-Jun-2022,"INR 16,629,080",365.0,Jitender Kumar,15-Jun-2022 05:04 PM,AOCnarla.PDF (465.00 KB),Award letter No. 3897-3909,PWD,2022_PWD_59025_1,PW-MDI-Tender-NIT- 24385-419 dated 26.02.2022,"Construction of balance work of Science Laboratory Block at Govt. Degree College Drang at Narla, Tehsil Padhar Distt. Mandi (H.P.)",Er. J.K. Gupta,Internal,AE Padhar DAO Supdt. HDM,Jitender Kumar,19-Apr-2022 10:50 AM,20-Apr-2022 11:00 AM,techsummary_89319.pdf (950.17 KB),Technical,summary,Jitender Kumar,13-Apr-2022 01:08 PM,technical_89319.pdf,1.0,277170.0,DHARMENDER KAPOOR,12-Apr-2022 03:53 PM,Rejected-Technical,Non-responsive,19-Apr-2022 10:50 AM,1.0,276699.0,Sohan lal,INR,"15,589,752",Finance,fbosummary,Jitender Kumar,21-Apr-2022 11:03 AM,finance_89319.pdf,BOQ Comparative Chart,AOC,"3,32,600",No,fixed,,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Padhar,PWD,PW-MDI-Tender-NIT- 24385-419 dated 26.02.2022,2022_PWD_59025_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),"Construction of balance work of Science Laboratory Block at Govt. Degree College Drang at Narla, Tehsil Padhar Distt. Mandi (H.P.)",Construction of building portion with water supply and sanitary installation and construction of rain water harvesting tank,As per bid documents ,NA ,"1,66,29,080",Civil Works - Buildings,NA ,Tender,90.0,365.0,Padhar,175012.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,04-Apr-2022 10:00 AM,13-Apr-2022 11:30 AM,04-Apr-2022 10:00 AM,12-Apr-2022 05:00 PM,NA ,NA ,04-Apr-2022 10:00 AM,12-Apr-2022 05:00 PM,20-Apr-2022 11:00 AM,"5,000",Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Padhar,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,277125.0,Inder Singh Thakur,12-Apr-2022 02:35 PM,Rejected-Technical,Non-responsive,19-Apr-2022 10:50 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest money (Indicated in Schedule E)Earnest money (Indicated in Schedule E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,277085.0,Jay Kumar,12-Apr-2022 12:26 PM,Rejected-Technical,Non-responsive,19-Apr-2022 10:50 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,276699.0,Sohan lal,12-Apr-2022 11:59 AM,Accepted-AOC,AOC,15-Jun-2022 05:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3) and EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,277174.0,SURENDER PAL,12-Apr-2022 04:03 PM,Rejected-Finance,L-2,15-Jun-2022 05:01 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
