S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,350.0,Nil,Nil,No,17-Jan-2022 05:00 PM,24-Jan-2022 12:30 PM,17-Jan-2022 05:00 PM,22-Jan-2022 05:00 PM,NA ,NA ,17-Jan-2022 05:00 PM,22-Jan-2022 05:00 PM,28-Jan-2022 11:40 AM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,"31,650",No,fixed,,Nil,Nil,EE Shillai,Executive Engineer HP PWD Shillai,PWD,TA-13680-13779dt-7-1-2022,2022_PWD_55765_7,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Construction of link road from Pab Khala to village Pab km. 0/0 to 1/300(SH-Removal of formation cutting deficiency in km. 0/165 to 1/210 ) Under MNP revised working estimate thereof.),Construction of link road from Pab Khala to village Pab km. 0/0 to 1/300(SH-Removal of formation cutting deficiency in km. 0/165 to 1/210 ) Under MNP revised working estimate thereof.),please refer to tender document ,NA ,"16,08,936",Civil Works,NA ,Rate Contract,120.0,30.0,Shillai,173025.0,NA ,NA ,NA ,Shillai,No ,No,AOC,PWD,2022_PWD_55765_7,TA-13680-13779dt-7-1-2022,Construction of link road from Pab Khala to village Pab km. 0/0 to 1/300(SH-Removal of formation cutting deficiency in km. 0/165 to 1/210 ) Under MNP revised working estimate thereof.),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Technical Staff.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,AOC
