S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,282721.0,VISHAL DHIMAN GOVT CONTRACTOR,INR,"1,668,056",Finance,Financial bid opened,Dinesh Kumar Dhiman,19-Jun-2022 05:05 PM,finance_91717.pdf,BOQ Comparative Chart,Technical,Technical bid opened on 25.05.2022,Dinesh Kumar Dhiman,01-Jun-2022 06:17 PM,technical_91717.pdf,1.0,283490.0,HARBANS SINGH,24-May-2022 02:50 PM,Rejected-Technical,Not attached as per GCC Cl. 18 And Enlistment validity expired,01-Jun-2022 07:01 PM,EE Dehra,Internal,"HDM, Supdt, DAO",Dinesh Kumar Dhiman,19-Jun-2022 05:18 PM,finsummary_91717.pdf (571.63 KB),19-Jun-2022,"INR 2,382,937",30.0,Dinesh Kumar Dhiman,19-Jun-2022 05:20 PM,Ram_Beh_2022_PWD_60703_7.pdf (667.00 KB),Award letter,PWD,2022_PWD_60703_7,EE Dehra Letter No.1277-82 dated 05.05.2022,Construction of link road from Badhal to Ram Beh Panchayat Dhounta,EE Dehra,Internal,"HDM, Supdt, DAO",Dinesh Kumar Dhiman,01-Jun-2022 07:01 PM,03-Jun-2022 03:30 PM,techsummary_91717.pdf (571.63 KB),AOC,1.0,ICICI BANK,Executive Engineer,HPPWD Division Dehra,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,Construction of link road from Badhal to Ram Beh Panchayat Dhounta,"C/O Embankent in road at RD.1/630 to 1/850, 1/880 to 2/900",Please refer to tender documents  ,NA ,"23,82,937",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,17-May-2022 06:30 PM,25-May-2022 11:30 AM,17-May-2022 06:30 PM,24-May-2022 06:00 PM,17-May-2022 06:30 PM ,21-May-2022 04:00 PM ,17-May-2022 06:30 PM,24-May-2022 06:00 PM,03-Jun-2022 03:30 PM,"48,000",No,fixed,,Nil,Nil,PWD,EE Dehra Letter No.1277-82 dated 05.05.2022,2022_PWD_60703_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2.0,283522.0,PARMINDER SINGH RANA,24-May-2022 09:28 AM,Rejected-Technical,Not attached as per GCC Cl. 18,01-Jun-2022 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,283627.0,RAJAT SHARMA,24-May-2022 04:17 PM,Rejected-Technical,Not attached as per GCC Cl. 18,01-Jun-2022 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,283557.0,SAHIL THAKUR,24-May-2022 05:27 PM,Rejected-Finance,Being L2,19-Jun-2022 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,283241.0,SUBHASH CHAND,24-May-2022 01:00 PM,Rejected-Finance,Being L3,19-Jun-2022 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,283518.0,SUMIT KUMAR GOVT. CONTRACTOR,24-May-2022 09:48 AM,Rejected-Technical,Not attached as per GCC Cl. 18,01-Jun-2022 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7.0,282721.0,VISHAL DHIMAN GOVT CONTRACTOR,24-May-2022 06:53 AM,Accepted-AOC,work awarded,19-Jun-2022 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
