Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
PWD,2021_PWD_52917_2,PW-SRDD-CB-CTR-2021-8873 dated 07-09-2021,"Construction of Government Community Health centre building at Shoghi, Tehsil and District Shimla HP.",Er Maan Singh,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,09-Nov-2021 01:42 PM,10-Nov-2021 11:00 AM,techsummary_79309.pdf (500.50 KB),Technical,Bid opening summary,Naveen Singh Kaundal,27-Oct-2021 03:55 PM,technical_79309.pdf,1.0,240964.0,A.G.CONSTRUCTIONS,24-Oct-2021 04:18 PM,Rejected-Finance,L4 Bidder,17-Nov-2021 11:57 AM,AOC,PWD,PW-SRDD-CB-CTR-2021-8873 dated 07-09-2021,2021_PWD_52917_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"5,000",Nil,Nil,No,"Construction of Government Community Health centre building at Shoghi, Tehsil and District Shimla HP.","SH- Construction of Civil Work, Development of Site, WS and SI, Rain Water Harvesting Tank, Septic Tank, Soak pit etc.",as per tender documents ,NA ,"5,54,39,169",Civil Works - Buildings,NA ,Tender,75.0,540.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,"11,08,800",No,fixed,,Nil,Nil,16-Oct-2021 02:15 PM,26-Oct-2021 11:00 AM,16-Oct-2021 02:15 PM,25-Oct-2021 06:00 PM,NA ,NA ,16-Oct-2021 02:15 PM,25-Oct-2021 06:00 PM,10-Nov-2021 11:00 AM,Executive Engineer,Shimla Rural Division HPPWD Dhami,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,2.0,241076.0,Arun Kumar Thakur,22-Oct-2021 05:48 PM,Accepted-AOC,L1 Bidder,28-Jun-2022 05:56 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,3.0,240779.0,Madan Builders,20-Oct-2021 11:20 AM,Rejected-Finance,L2 Bidder,17-Nov-2021 11:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),AOC
,,,,,,,,,,,,,,,,4.0,241121.0,rajesh kumar suman,24-Oct-2021 06:46 PM,Rejected-Finance,L3 Bidder,17-Nov-2021 11:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),AOC
,,,,,,,,,,,,,,,,5.0,241112.0,SURESH THAKUR,25-Oct-2021 10:54 AM,Rejected-Technical,Non-responsive (Low bid capacity),09-Nov-2021 01:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as Per General Rule 24.5,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand as Per General Rule 24.5,AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),AOC
,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,AOC
