Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,3575-83 dated 12.07.2021,2021_PWD_50039_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,17-Jul-2021 06:15 PM,27-Jul-2021 11:00 AM,17-Jul-2021 06:25 PM,26-Jul-2021 04:00 PM,NA ,NA ,17-Jul-2021 06:25 PM,26-Jul-2021 04:00 PM,30-Jul-2021 12:30 PM,"54,800",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,1.0,corrigendum,Date,,1.0,ICICI BANK,Annual Maintenance Plan for the year 2020 21 for Bill to Patta Brawery road VR023,Annual Maintenance Plan for the year 2020 21 for Bill to Patta Brawery road VR023 SH P L renewal coat by providing 30mm thick Bituminous Concrete thermoplastic edge line in Km. 300 to 400 and 6 00 to 8 00 Under PMGSY,As per Tender documents ,NA ,"31,51,132",Civil Works,NA ,Tender,90.0,NA ,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,Executive Engineer,Executive Engineer HPPWD Division Kasauli,AOC,PWD,2021_PWD_50039_1,3575-83 dated 12.07.2021,Annual Maintenance Plan for the year 2020 21 for Bill to Patta Brawery road VR023,Sh M L Sharma,Internal,Sh Vishal Bhardwaj A E Sh Dharam Singh H D M Sh Deepak Kumar Superintendent Gr II,Manohar Lal Sharma,29-Jul-2021 05:37 PM,30-Jul-2021 12:30 PM,techsummary_74852.pdf (449.11 KB),Sh M L Sharma,Internal,Sh Vishal Bhardwaj A E Sh Dharam Singh H D M Sh Deepak Kumar Superintendent Gr II,Manohar Lal Sharma,04-Aug-2021 04:55 PM,finsummary_74852.pdf (276.64 KB),17-Sep-2022,"INR 3,151,132",90.0,Manohar Lal Sharma,23-Jun-2022 05:38 PM,AOC20.pdf (911.00 KB),AOC,Finance,Financialsummary,Manohar Lal Sharma,04-Aug-2021 04:52 PM,finance_74852.pdf,BOQ Comparative Chart,1.0,224516.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,INR,"3,995,554",1.0,225315.0,kapoor sanjee,25-Jul-2021 05:56 PM,Rejected-Finance,BeingL2,04-Aug-2021 04:55 PM,Technical,Bid Summary,Manohar Lal Sharma,29-Jul-2021 05:34 PM,technical_74852.pdf,AOC
,,,,,,,,,,,,,,,,.pdf,SBD,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,224516.0,Sh. Bhupinder Singh Badi S/o Sh. Kishan Singh,21-Jul-2021 08:54 PM,Accepted-AOC,work complete,23-Jun-2022 05:38 PM,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,6,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,7,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,8,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,9,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,10,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,11,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
