S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,1.0,Corrigendum1,Date,,Procurement of 24 kV and 36 kV Isolators for various sub-stations of HPSEBL in HP,Procurement of 24 kV and 36 kV Isolators for various sub-stations of HPSEBL in HP,Please refer Tender documents. ,NA ,"1,92,70,000",Electrical Work/ Equipment,NA ,Tender,240.0,180.0,Sub-stations of HPSEBL in HP,171004.0,Hamirpur ,"O/o SE (Design), ES, HPSEBL, Hamirpur ",01-Oct-2021 11:00 AM ,"O/o SE (Design), ES, HPSEBL, Hamirpur",No ,No,21-Sep-2021 04:30 PM,25-Oct-2021 03:00 PM,21-Sep-2021 04:35 PM,25-Oct-2021 01:00 PM,NA ,NA ,04-Oct-2021 10:00 AM,25-Oct-2021 01:00 PM,23-Nov-2021 03:20 PM,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-489/2021,2021_HPSEB_52557_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,"1,92,700",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,"SE (Design), ES, HPSEBL, Hamirpur","O/o SE (Design), ES, HPSEBL, Hamirpur","10,000",Nil,Nil,No,AOC,Technical,Techno commercial bids of all the bidders have been downloaded,Narender Pal Abrol,25-Oct-2021 03:26 PM,technical_78578.pdf,Finance,Financial bids of responsive bidders has been opened,Narender Pal Abrol,23-Nov-2021 03:28 PM,finance_78578.pdf,BOQ Comparative Chart,03-Jun-2022,"INR 16,978,694",180.0,Megha Rana,03-Jun-2022 05:22 PM,POUltima489.pdf (588.00 KB),PO Issued on 26.02.2022,1.0,240257.0,AZAD INFRAPOWER PVT. LTD.,13-Oct-2021 03:58 PM,Rejected-Technical,Techno Commercially Non-responsive,23-Nov-2021 03:16 PM,SE (Design),Internal,"Sr. XEN, AO, AE",Vikailash Chand Attri,23-Nov-2021 03:16 PM,23-Nov-2021 03:20 PM,techsummary_78578.pdf (216.84 KB),SE(D),Internal,"SE(D), Sr. Xen, AE",Megha Rana,30-May-2022 05:38 PM,finsummary_78578.pdf (95.04 KB),1.0,241077.0,Ultima Switchgears Limited,INR,"16,978,694",HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2021_HPSEB_52557_1,SSD-489/2021,Procurement of 24 kV and 36 kV Isolators for various sub-stations of HPSEBL in HP,AOC
2.0,ICICI NEFT/RTGS,2.0,Pre Bid Clarification1,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Test Reports,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,241088.0,Elektrolites power pvt ltd,23-Oct-2021 09:41 PM,Rejected-AOC,Not Awarded,03-Jun-2022 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Past Supplies,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,239516.0,Nikum Energy Control India Limited,25-Oct-2021 09:42 AM,Rejected-Technical,Techno Commercially Non-responsive,23-Nov-2021 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERFORMANCE CERTIFICATE OF OFFERED RATING OF SAME /HIGHER VOLTAGE CLASS ISOLATORS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,240256.0,Rama Engineering Works,25-Oct-2021 10:47 AM,Rejected-AOC,Not Awarded,03-Jun-2022 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5.0,240425.0,Switchgear Manufacturing Company Pvt. Ltd,25-Oct-2021 11:53 AM,Rejected-AOC,Not Awarded,03-Jun-2022 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6.0,240422.0,"Switchgears & Structurals (India) Pvt. Ltd.,",25-Oct-2021 12:25 PM,Rejected-AOC,Not Awarded,03-Jun-2022 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7.0,241077.0,Ultima Switchgears Limited,25-Oct-2021 12:51 PM,Accepted-AOC,PO Issued on 26.02.2022,03-Jun-2022 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
