S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,ICICI BANK,350.0,Nil,Nil,No,31-Aug-2021 04:30 PM,07-Sep-2021 11:00 AM,31-Aug-2021 05:00 PM,06-Sep-2021 05:00 PM,NA ,NA ,31-Aug-2021 05:00 PM,06-Sep-2021 05:00 PM,08-Sep-2021 04:45 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii),PWD,tender/2021-22-4477-4526 dated 21.08.2021,2021_PWD_51687_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"3,500",No,fixed,,Nil,Nil,Executive engineer,Executive engineer HPPWD Division Paonta Sahib District Sirmour (HP),"Construction of link road from NH-07 to Kishankot Bangran Jagiri Ram Basti in G.P. Ajoli km. 0/0 to 0/120 (SH-C/O 5/7mtr. wide road, Providing laying stone aggregate of size G-I and C/o V-shape side drain both side in km. 0/0 to 0/120). Under MMGSY.","Construction of link road from NH-07 to Kishankot Bangran Jagiri Ram Basti in G.P. Ajoli km. 0/0 to 0/120 (SH-C/O 5/7mtr. wide road, Providing laying stone aggregate of size G-I and C/o V-shape side drain both side in km. 0/0 to 0/120). Under MMGSY.",Please refer tender document ,NA ,"1,73,827",Civil Works - Roads,NA ,Tender,75.0,60.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,AOC,1.0,234561.0,RAHUL,INR,"160,806",Finance,Fin Bid Opening Summaru,Kishan Lal Chaudhary,23-Oct-2021 11:36 AM,finance_77279.pdf,BOQ Comparative Chart,1.0,234542.0,Avinash,06-Sep-2021 03:31 PM,Rejected-Finance,L4,23-Oct-2021 11:47 AM,Technical,Bid opening summary,Kishan Lal Chaudhary,08-Sep-2021 04:36 PM,technical_77279.pdf,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,08-Sep-2021 04:39 PM,08-Sep-2021 04:45 PM,techsummary_77279.pdf (765.12 KB),PWD,2021_PWD_51687_2,tender/2021-22-4477-4526 dated 21.08.2021,"Construction of link road from NH-07 to Kishankot Bangran Jagiri Ram Basti in G.P. Ajoli km. 0/0 to 0/120 (SH-C/O 5/7mtr. wide road, Providing laying stone aggregate of size G-I and C/o V-shape side drain both side in km. 0/0 to 0/120). Under MMGSY.",22-Jun-2022,"INR 173,827",60.0,Kishan Lal Chaudhary,22-Jun-2022 02:52 PM,aoc.pdf (815.00 KB),AOC,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,23-Oct-2021 11:47 AM,finsummary_77279.pdf (384.48 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No. (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,234555.0,Basti Ram,06-Sep-2021 03:45 PM,Rejected-Finance,L2,23-Oct-2021 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Contractor registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,234561.0,RAHUL,06-Sep-2021 04:50 PM,Accepted-AOC,Work completed,22-Jun-2022 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,234530.0,RAKESH KUMAR,06-Sep-2021 02:58 PM,Rejected-Finance,L3,23-Oct-2021 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18 ( i.e. R.C,purchase bills,ownership/Affidavit et",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
