Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Public Works Roads Department,CEDEV/RIDFXXVII/210/2021-22/01,2021_PWD_23865_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Chief Engineer (Roads), PWRD, Assam","O/o the Chief Engineer (Roads), PWRD, Assam, Chandmari, Guwahati, 781003","8,90,000",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,RE_RIDF-XXVII_Abhayapuri North_01 Construction of Road on Emabnkment T/Dyke from Sidalsuti to Marerchar on R/B of river Aie from ch- 8000.00 m to ch - 11000.00 m under RIDF-XXVII of NABARD for the year 2021-22,RE_RIDF-XXVII_Abhayapuri North_01 Construction of Road on Emabnkment T/Dyke from Sidalsuti to Marerchar on R/B of river Aie from ch- 8000.00 m to ch - 11000.00 m under RIDF-XXVII of NABARD for the year 2021-22,Please refer Tender documents. ,NA ,"4,45,00,300",Civil Works,NA ,Tender,180.0,365.0,Abhayapuri North,783384.0,"Development Branch, O/o the Chief Engineer (Roads) ","O/o the Chief Engineer (Roads), PWRD, Assam, Chandmari, Guwahati, 781003 ",05-Jan-2022 12:00 PM ,"O/o the Chief Engineer (Roads), PWRD, Assam",No ,No,1.0,DD - Demand Draft,29-Dec-2021 02:00 PM,19-Jan-2022 02:30 PM,29-Dec-2021 02:00 PM,19-Jan-2022 02:00 PM,29-Dec-2021 02:00 PM ,19-Jan-2022 02:00 PM ,07-Jan-2022 02:00 PM,19-Jan-2022 02:00 PM,14-Feb-2022 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,Bid Security,"10,000","Empowered Officer, Assam State Road Board",GUWAHATI,No,AOC,Technical,Verified,MRIDUL TALUKDAR,14-Feb-2022 03:57 PM,technical_36573.pdf,"Chief Engineer, PWD, Roads, Assam, Chandmari, Ghy",Internal,,MRIDUL TALUKDAR,14-Feb-2022 03:59 PM,14-Feb-2022 04:30 PM,techsummary_36573.pdf (216.68 KB),Finance,Financial Opened,BHABANANDA DEKA,14-Feb-2022 07:33 PM,,BOQ Comparative Chart,Public Works Roads Department,2021_PWD_23865_1,CEDEV/RIDFXXVII/210/2021-22/01,RE_RIDF-XXVII_Abhayapuri North_01 Construction of Road on Emabnkment T/Dyke from Sidalsuti to Marerchar on R/B of river Aie from ch- 8000.00 m to ch - 11000.00 m under RIDF-XXVII of NABARD for the year 2021-22,1,130154,ABBAS SARKAR,18-Jan-2022 04:17 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,.pdf,Cost of Tender Document,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,130163,CHENTU CHAKLADER,18-Jan-2022 05:10 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3,130166,kajalkrdas,18-Jan-2022 05:31 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,.pdf,Standard Bidding Document,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4,130233,KANAKESH DAS,18-Jan-2022 10:59 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,5,129847,M/s. Jaichand Lal Singhi,19-Jan-2022 12:37 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form Of Bid,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,6,130178,PADMAVATI CONSTRUCTION,18-Jan-2022 06:04 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,7,129827,Prasanta Dey,17-Jan-2022 04:03 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,8,129933,Rana Bora,18-Jan-2022 06:21 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,9,130140,Rudra Kumar Pathak,18-Jan-2022 05:18 PM,Accepted-AOC,Awarded,27-Jun-2022 12:13 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,10,130220,Sri Dhiraj Borgoyary,18-Jan-2022 08:15 PM,Rejected-AOC,Not Awarded,27-Jun-2022 12:13 PM,AOC
