Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
09-Dec-2021 06:15 PM,16-Dec-2021 11:30 AM,09-Dec-2021 06:15 PM,15-Dec-2021 05:00 PM,NA ,NA ,09-Dec-2021 06:15 PM,15-Dec-2021 05:00 PM,21-Dec-2021 11:30 AM,PWD,No.PWC-WA-II-11553-652 dated 2.12.2021,2021_PWD_54520_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,"2,200",No,fixed,,Nil,Nil,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,Annual repair and maintenance of various roads under Chamba Sub Division No-1 (SH Hiring of Excavator cum Loader for removal of slips/snow at panela,Annual repair and maintenance of various roads under Chamba Sub Division No-1 (SH Hiring of Excavator cum Loader for removal of slips/snow at panela,Please refer Tender documents. ,NA ,"1,10,000",Civil Works,NA ,Tender,75.0,90.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,1.0,ICICI BANK,AOC,Finance,BOS,Jeet Singh Thakur,29-Dec-2021 03:50 PM,finance_81668.pdf,BOQ Comparative Chart,EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,17-Dec-2021 04:36 PM,21-Dec-2021 11:30 AM,techsummary_81668.pdf (210.85 KB),Technical,BOS,Jeet Singh Thakur,17-Dec-2021 04:16 PM,technical_81668.pdf,1.0,249678.0,MANESHWAR SINGH,15-Dec-2021 01:42 PM,Rejected-Finance,L2,29-Jun-2022 06:09 PM,29-Jun-2022,"INR 110,000",90.0,Jeet Singh Thakur,29-Jun-2022 06:13 PM,13944.pdf (722.00 KB),Annual repair and maintenance of various roads under Chamba Sub Division No-1 (SH Hiring of Excavator cum Loader for removal of slips/snow at panela,1.0,248849.0,NADEEM ALI SHAH,INR,"91,500",EE,Internal,AE Supdt Sr Asstt.,Jeet Singh Thakur,29-Jun-2022 06:09 PM,finsummary_81668.pdf (148.26 KB),PWD,2021_PWD_54520_12,No.PWC-WA-II-11553-652 dated 2.12.2021,Annual repair and maintenance of various roads under Chamba Sub Division No-1 (SH Hiring of Excavator cum Loader for removal of slips/snow at panela,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only mode through e-payment,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,2.0,248849.0,NADEEM ALI SHAH,14-Dec-2021 12:23 PM,Accepted-AOC,"work completed , Earnest Money may be released",29-Jun-2022 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of ongoing work/Work in hand certificate,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Tender will be accepted of those Contractor who possess own Excavator-cum-Loader, documentary proof",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8 duly signed by the contractor,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
