Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,11-May-2022 12:22 PM,12-May-2022 02:00 PM,techsummary_90865.pdf (951.00 KB),Technical,sum,Suresh Kumar Walia,11-May-2022 12:21 PM,technical_90865.pdf,1.0,280981.0,ASHISH KUMAR GOVT CONTRACTOR,09-May-2022 09:53 AM,Rejected-Finance,Lowest 3,19-May-2022 01:34 PM,Finance,Sum,Ankit Kumar,19-May-2022 01:32 PM,finance_90865.pdf,BOQ Comparative Chart,Executive Engineer,Internal,AE Supdt DAO HDM,Ankit Kumar,19-May-2022 01:34 PM,finsummary_90865.pdf (19.35 KB),PWD,2022_PWD_58759_12,PWD- Civil17245-75-Tanda,Annual maintenance plan for the year 2022-23 on various roads under HP PWD Division Tanda at Nagrota Bagwan in Distt Kangra (HP)(SH-Providing and laying of hot applied thermoplastic paint strips).,20-May-2022,"INR 1,249,980",30.0,Ankit Kumar,15-Jun-2022 12:51 PM,Vipul.pdf (440.00 KB),Award,1.0,281083.0,Vipul Bali Govt. Contractor,INR,"773,474",AOC,"25,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,PWD,PWD- Civil17245-75-Tanda,2022_PWD_58759_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,29-Apr-2022 10:20 AM,09-May-2022 11:30 AM,29-Apr-2022 10:20 AM,09-May-2022 10:00 AM,NA ,NA ,29-Apr-2022 10:20 AM,09-May-2022 10:00 AM,12-May-2022 02:00 PM,Annual maintenance plan for the year 2022-23 on various roads under HP PWD Division Tanda at Nagrota Bagwan in Distt Kangra (HP)(SH-Providing and laying of hot applied thermoplastic paint strips).,Annual maintenance plan for the year 2022-23 on various roads under HP PWD Division Tanda at Nagrota Bagwan in Distt Kangra (HP)(SH-Providing and laying of hot applied thermoplastic paint strips).,Please refer Tender documents. ,NA ,"12,49,980",Civil Works - Roads,NA ,Tender,120.0,30.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC
,,,,,,,,,,,,2.0,281218.0,Kapil Sharma,09-May-2022 09:43 AM,Rejected-Finance,Lowest 4,19-May-2022 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,AOC
,,,,,,,,,,,,3.0,280741.0,Tilak Painter,05-May-2022 02:03 PM,Rejected-Finance,Lowest 5,19-May-2022 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST , Pan Copy",AOC
,,,,,,,,,,,,4.0,281083.0,Vipul Bali Govt. Contractor,07-May-2022 03:57 PM,Accepted-AOC,Award,15-Jun-2022 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No,AOC
,,,,,,,,,,,,5.0,281191.0,WALIA CONSTRUCTIONS,08-May-2022 07:13 PM,Rejected-Finance,Lowest 2,19-May-2022 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct notary/1st class M,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted notary / 1st class ma,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,under taking that no arbitration/litigation with PWD is pending in any court of Law,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD,AOC
