S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,dateCorrigendum,Date,,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Rohru,Irrigation and Public Health,HP",JSV-RD-AB-E-Tender/21 10795-830,2022_HPIPH_56286_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,"2,500",EE Rohru,Rohru,Yes,1.0,ICICI BANK,Balance work for LWSS to Various Panchyat under Rohru Kotkhai Nawar Block from Pubber River in Tehsil Rohru Distt Shimla HP,SH Site development for all Civil Structures C O Head weir C O Anckor block for R main C O Delivery tank Zone 1st at node 750000 Litrs Cap C o Sump well Zone 2nd at node 840000 Litrs Cap C O Delivery tank Zone 2nd at node 9 20000 Litrs Cap C o,Tender Document ,NA ,"10,34,16,233",Civil Works - Others,NA ,Tender,120.0,365.0,Rohru Town,171207.0,Tutukandi Shimla ,In the office of Chief Engineer Shimla Zone ,08-Feb-2022 11:00 AM ,JSV Division Rohru,No ,No,01-Feb-2022 05:00 PM,23-Feb-2022 11:30 AM,01-Feb-2022 05:00 PM,22-Feb-2022 05:00 PM,NA ,NA ,01-Feb-2022 05:00 PM,22-Feb-2022 05:00 PM,25-Mar-2022 05:00 PM,Executive Engineer,JSV Division Rohru,"10,66,662",Yes,fixed,,EE Rohru,Rohru,1.0,Fee,.pdf,Tender fee as per NIT,AOC,1.0,264679.0,Dogra Construction Company Pvt Ltd,19-Feb-2022 01:16 PM,Accepted-AOC,Accepted,24-Aug-2022 01:29 PM,Chief Engineer(SZ) JSV Shimla 5,Internal,Deepak Aggarwal Sanjeev Kumar Soni Vijay Kashyap Basant Singh Rathour Ashwani Sharma,Basant Singh Rathour,25-Mar-2022 04:58 PM,25-Mar-2022 05:00 PM,techsummary_84641.pdf (1363.09 KB),16-Aug-2022,"INR 103,416,233",365.0,Prem Prakash Sharma,24-Aug-2022 01:28 PM,aocnawarkothkhai.pdf (953.00 KB),Rate quoted y sh M/S Dogra construction found lowest and the work has been awarded to him vide letter No 7090-96,Technical,technicalsummary,Basant Singh Rathour,25-Mar-2022 04:56 PM,technical_84641.pdf,Finance,financialsummary,Basant Singh Rathour,31-Mar-2022 03:28 PM,finance_84641.pdf,BOQ Comparative Chart,Chief Engineer(SZ) JSV Shimla 5,Internal,Sh Deepak Aggrawal Sh Sanjeev Kumar Soni Sh Vijay Kashyap Sh Basant Singh Thakur Sh Aswani Sharma,Basant Singh Rathour,31-Mar-2022 03:35 PM,finsummary_84641.pdf (1363.09 KB),1.0,264679.0,Dogra Construction Company Pvt Ltd,INR,"132,314,100","HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Rohru,Irrigation and Public Health,HP",2022_HPIPH_56286_1,JSV-RD-AB-E-Tender/21 10795-830,Balance work for LWSS to Various Panchyat under Rohru Kotkhai Nawar Block from Pubber River in Tehsil Rohru Distt Shimla HP,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as Per NIT,AOC,2.0,264943.0,HARJEET SINGH,18-Feb-2022 10:10 PM,Rejected-AOC,Rejected,24-Aug-2022 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration with IPH as Per NIT,AOC,3.0,263094.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,14-Feb-2022 02:02 PM,Not Admitted-Fee,EMD/Instrument is not valid,07-Mar-2022 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of Income Tax, GST and Pan Card, EPF Registration",AOC,4.0,265004.0,Unipro Techno Infrastructure Pvt Ltd,19-Feb-2022 01:10 PM,Rejected-AOC,Rejected,24-Aug-2022 01:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover of three year from 2018-19 to 2020-21,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DSC authorization letter as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done of similar work 1 of 80per 2 of 50per 3 of 40per not less than the amount eql to est cost,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,make /model of the proposed pumping machinery along with characteristic curves with minimum 60 perc,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The schematic plan and flow diagram of proposed WTP intake head works is to be submitted all bidder,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,Schedule of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
