Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
PWD,TA-22400-22499dt-25-2-2022,2022_PWD_57601_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Construction of Government Senior Secondary School at Timbi, Tehsil Shillai, District Sirmour ( HP ) ( Estimate based on Drawing No. 90,91/1, 93 and 94 Job No. 6546","( SH- construction of building portion , providing water supply, sanitaryistallation, construction of septic tank with soak pit, rain water harvesting tank site development i.e.C/o R/wall",please refer to tender document ,NA ,"1,15,92,566",Civil Works - Buildings,NA ,Rate Contract,75.0,180.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,"5,000",Nil,Nil,No,07-Mar-2022 06:00 PM,14-Mar-2022 12:30 PM,07-Mar-2022 06:00 PM,14-Mar-2022 09:00 AM,NA ,NA ,07-Mar-2022 06:00 PM,14-Mar-2022 09:00 AM,21-Mar-2022 10:00 AM,1.0,ICICI BANK,EE shillai,Executive Engineer HP PWD Shillai,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,"1,48,450",No,fixed,,Nil,Nil,PWD,2022_PWD_57601_1,TA-22400-22499dt-25-2-2022,"Construction of Government Senior Secondary School at Timbi, Tehsil Shillai, District Sirmour ( HP ) ( Estimate based on Drawing No. 90,91/1, 93 and 94 Job No. 6546",EE Shillai,Internal,"AE Shillai, HDM, Supdt. TA",Pramod Upreti,19-Mar-2022 04:57 PM,21-Mar-2022 10:00 AM,techsummary_86941.pdf (1338.46 KB),EE Shillai,Internal,"AE Shillai, HDM, Supdt. TA",Pramod Upreti,21-Mar-2022 04:14 PM,finsummary_86941.pdf (428.29 KB),25-Aug-2022,"INR 10,487,109",180.0,Vijay Kumar Aggarwal,29-Nov-2023 01:28 PM,AOC.pdf (733.00 KB),AOC,1.0,269571.0,LAL SINGH CHAUHAN,INR,"10,487,109",Finance,financial summary,Pramod Upreti,21-Mar-2022 04:10 PM,finance_86941.pdf,BOQ Comparative Chart,1.0,269571.0,LAL SINGH CHAUHAN,13-Mar-2022 12:16 PM,Accepted-AOC,Work Completed,29-Nov-2023,Technical,"AE Shillai, HDM, Supdt. TA",Pramod Upreti,19-Mar-2022 04:55 PM,technical_86941.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,269299.0,rajinder singh negi,13-Mar-2022 06:36 PM,Rejected-Finance,Not lowest,21-Mar-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy work done and work in hand general rule sr. No 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy work done minimum one similar work done of amount not less than 40per. of estimate cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
