S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,162631.0,M/s Ankush Engineers & Contractors Pvt. Ltd.,INR,"34,600,000",Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,31-Dec-2020 10:20 AM,finance_55589.pdf,BOQ Comparative Chart,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,16-Jun-2020 04:09 PM,technical_55589.pdf,1.0,162567.0,Ajay Kumar Sharma,15-Jun-2020 03:53 PM,Rejected-Finance,L2,31-Dec-2020 10:29 AM,MAHESH SINGHAL,Internal,CHD EEDESIGN EENHN SENHN,Vijay Kumar Aggarwal,31-Dec-2020 10:25 AM,finsummary_55589.pdf (1646.62 KB),18-Sep-2021,"INR 16,988,000",545.0,Vijay Kumar Aggarwal,24-Aug-2022 04:56 PM,AOC_37743_1.PDF (78.00 KB),Awarded to M/s Ankush Engineers,PWD,2020_PWD_37743_1,NAHAN 196-215,Construction of 112.50 meter span Stiffened Suspension Jeep-able Bridge over Markanda River on Link Road Bikram Bagh to Manderwa at RD 0/460 on Lump Sum Basis,VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,30-Dec-2020 05:06 PM,30-Dec-2020 05:10 PM,techsummary_55589.pdf (1224.56 KB),AOC,1.0,DD - Demand Draft,"3,40,000",No,fixed,,EE Nahan,Nahan,Executive Engineer,Executive Engineer HPPWD Division Nahan,"5,000",EE Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,02-Jun-2020 05:00 PM,16-Jun-2020 11:00 AM,02-Jun-2020 05:00 PM,16-Jun-2020 10:00 AM,NA ,NA ,02-Jun-2020 05:00 PM,16-Jun-2020 10:00 AM,30-Dec-2020 05:10 PM,PWD,NAHAN 196-215,2020_PWD_37743_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,Construction of 112.50 meter span Stiffened Suspension Jeep-able Bridge over Markanda River on Link Road Bikram Bagh to Manderwa at RD 0/460 on Lump Sum Basis,Construction of 112.50 meter span Stiffened Suspension Jeep-able Bridge over Markanda River on Link Road Bikram Bagh to Manderwa at RD 0/460,As Per Bidding Document ,NA ,"1,69,88,000",Civil Works - Bridges,NA ,Tender,120.0,545.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,162631.0,M/s Ankush Engineers & Contractors Pvt. Ltd.,15-Jun-2020 07:25 PM,Accepted-AOC,L1,24-Aug-2022 04:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,162598.0,UMSL Limited,15-Jun-2020 06:17 PM,Rejected-Technical,does not meet the qualification criteria,30-Dec-2020 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"REGISTRATION, PLACE OF BUSINESS, LEGAL STATUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,162144.0,V K Gupta and Associates,15-Jun-2020 01:50 PM,Rejected-Finance,L3,31-Dec-2020 10:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,TURNOVER IN LAST FIVE YEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"WORK DONE, WORK IN HAND, DETAIL OF TENDERS SUBMITTED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,EXPERIENCE OF ATLEAST 1 HIGHWAY ROAD/BRIDGE ATLEAST 40 PERCENT VALUE OF PROPOSED CONTRACT IN LAST 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,BANK CERTIFICATE/GUARANTEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,DETAIL OF MACHINERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,DETAIL OF TECHNICAL STAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,INFORMATION REGARDING LITIGATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
