Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,350.0,Nil,Nil,No,"16,000",No,fixed,,Nil,Nil,PWD,EE Palampur NIT No. 3053-3092 dt 13.5.22,2022_PWD_61087_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,26-May-2022 10:00 AM,04-Jun-2022 11:30 AM,26-May-2022 10:00 AM,04-Jun-2022 11:00 AM,NA ,NA ,26-May-2022 10:00 AM,04-Jun-2022 11:00 AM,07-Jun-2022 12:00 PM,Er. B.M. Thakur,Palampur Division HPPWD Palampur,"Construction of Ghuggar Nallah Harizan Basti to Chowki road Km 0/00 to 0/700 under SCSP (SW- Cutting in earth work, Construction of 2.00 mtrs Span at Km 0/200 HP Culvert 900 MM dia at Km 0/430 and P/L G-I and G-II in Km 0/200 to 0/650)","Construction of Ghuggar Nallah Harizan Basti to Chowki road Km 0/00 to 0/700 under SCSP (SW- Cutting in earth work, Construction of 2.00 mtrs Span at Km 0/200 HP Culvert 900 MM dia at Km 0/430 and P/L G-I and G-II in Km 0/200 to 0/650)",Please refer Tender documents. ,NA ,"7,90,791",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,PWD,2022_PWD_61087_1,EE Palampur NIT No. 3053-3092 dt 13.5.22,"Construction of Ghuggar Nallah Harizan Basti to Chowki road Km 0/00 to 0/700 under SCSP (SW- Cutting in earth work, Construction of 2.00 mtrs Span at Km 0/200 HP Culvert 900 MM dia at Km 0/430 and P/L G-I and G-II in Km 0/200 to 0/650)",Er.B.M Thakur,Internal,"T/A, Supdt, HDM, Sr. DAO, AE Palamppur, AE to EE",Manoj Sood,06-Jun-2022 12:30 PM,07-Jun-2022 12:00 PM,techsummary_92193.pdf (154.85 KB),Er.B.M Thakur,Internal,"T/A, Supdt, HDM, DAO, AE to EE Palampur, AE Palampur",Manoj Sood,09-Jun-2022 07:33 PM,finsummary_92193.pdf (147.88 KB),16-Aug-2022,"INR 790,791",90.0,Manoj Sood,20-Sep-2023 04:57 PM,9383.pdf (272.00 KB),AOC,1.0,284455.0,MILAP CHAND KAPOOR,01-Jun-2022 02:31 PM,Rejected-Finance,Bidder is found L5,09-Jun-2022,Technical,Technical bid opening summary,Manoj Sood,06-Jun-2022 12:28 PM,technical_92193.pdf,Finance,Financial bid opening summary,Manoj Sood,09-Jun-2022 05:29 PM,finance_92193.pdf,BOQ Comparative Chart,1.0,285078.0,VIKAS RANA GOVT. CONTRACTOR,INR,"1,090,237"
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285142.0,Nagu Ram,03-Jun-2022 01:17 PM,Rejected-Finance,Bidder is found L4,09-Jun-2022,,,,,,,,,,,,,,,,
,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285155.0,SUNIL KUMAR,04-Jun-2022 07:52 AM,Rejected-Finance,Bidder is found L2,09-Jun-2022,,,,,,,,,,,,,,,,
,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,285249.0,Sunita Thakur,03-Jun-2022 11:44 PM,Rejected-Finance,Bidder is found L6,09-Jun-2022,,,,,,,,,,,,,,,,
,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,284152.0,Tilak Raj,03-Jun-2022 07:16 PM,Rejected-Finance,Bidder is found L3,09-Jun-2022,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,285078.0,VIKAS RANA GOVT. CONTRACTOR,03-Jun-2022 08:42 AM,Accepted-AOC,AOC,20-Sep-2023,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
