Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
SE,Internal,"DM, Manager (F), AE(HQ), EE(HQ)",BHUP SINGH,24-Mar-2022 04:03 PM,finsummary_85583.pdf (31.13 KB),HP SIDC Limited,2022_SIDC_56828_1,Job No. 6,"Construction of Instrument lab and providing space for modern instruments in biological, chemical and physical science lab in RFSL Dharamshala Distt. Kangra (HP).",27-Apr-2022,"INR 7,995,658",270.0,Sushant Singh Negi,18-Aug-2022 12:32 PM,instrumentlab.pdf (272.00 KB),Award letter,1.0,267095.0,deepesh kaundal govt contractor,INR,"7,995,658",Technical,Tender summary,Sushant Singh Negi,19-Mar-2022 12:52 PM,technical_85583.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,19-Mar-2022 12:55 PM,19-Mar-2022 02:00 PM,techsummary_85583.pdf (490.92 KB),1.0,267095.0,deepesh kaundal govt contractor,28-Feb-2022 03:00 PM,Accepted-AOC,AOC,18-Aug-2022 12:32 PM,Finance,Financial summary,BHUP SINGH,24-Mar-2022 03:58 PM,finance_85583.pdf,BOQ Comparative Chart,AOC,21-Feb-2022 11:00 AM,02-Mar-2022 11:00 AM,21-Feb-2022 11:00 AM,28-Feb-2022 05:00 PM,NA ,NA ,21-Feb-2022 11:00 AM,28-Feb-2022 05:00 PM,19-Mar-2022 02:00 PM,"Construction of Instrument lab and providing space for modern instruments in biological, chemical and physical science lab in RFSL Dharamshala Distt. Kangra (HP).","Construction of Instrument lab and providing space for modern instruments in biological, chemical and physical science lab in RFSL Dharamshala Distt. Kangra (HP).",Please refer Tender documents. ,NA ,"55,89,321",Civil Works - Buildings,NA ,Tender,120.0,270.0,dharamshala (Kangra),176215.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,1.0,ICICI BANK,Executive Engineer,HPSIDC Shimla,HP SIDC Limited,Job No. 6,2022_SIDC_56828_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,900",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"88,400",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,266640.0,Harbhajan singh,28-Feb-2022 10:41 AM,Rejected-Finance,Second lowest bidder,24-Mar-2022 04:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,266044.0,VIKAS,26-Feb-2022 03:44 PM,Rejected-Finance,Third lowest bidder,24-Mar-2022 04:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff,,,,,,,AOC
