Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er Suresh Kumar Chandel,Internal,"Sh Prem Raj Meena DAO, Sh Ram Swaroop Thakur Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,09-May-2022 04:30 PM,finsummary_83809.pdf (152.70 KB),03-Aug-2022,"INR 988,843",30.0,Naveen Singh Kaundal,03-Aug-2022 01:38 PM,ThermoplasticDhami-AOC.pdf (407.00 KB),AOC,PWD,2022_PWD_55773_5,PW-SRDD-CB-CTR-2021-22-15294 dated 07-01-2022,Providing and laying of Hot Applied Thermoplastic compound 2.50 mm thick for edge line on various road under Sub Division Dhami under approved AMP for the FY- 2021-22,Er Suresh Kumar Chandel,Internal,"Sh Prem Raj Meena DAO, Sh Ram Sawaroop Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,22-Feb-2022 04:43 PM,23-Feb-2022 11:00 AM,techsummary_83809.pdf (486.88 KB),Technical,Bid opening summary,Naveen Singh Kaundal,01-Feb-2022 06:34 PM,technical_83809.pdf,1.0,258843.0,ABHISHEK SHARMA,27-Jan-2022 03:11 PM,Rejected-Finance,L4 Bidder,09-May-2022 04:30 PM,1.0,258823.0,Nikhil Sharma,INR,"692,182",Finance,Bid opening summary,Naveen Singh Kaundal,16-Mar-2022 11:27 AM,finance_83809.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),17-Jan-2022 06:55 PM,28-Jan-2022 11:00 AM,17-Jan-2022 06:55 PM,27-Jan-2022 06:00 PM,NA ,NA ,17-Jan-2022 06:55 PM,27-Jan-2022 06:00 PM,23-Feb-2022 11:00 AM,1.0,ICICI BANK,PWD,PW-SRDD-CB-CTR-2021-22-15294 dated 07-01-2022,2022_PWD_55773_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Shimla Rural Division HPPWD Dhami,Providing and laying of Hot Applied Thermoplastic compound 2.50 mm thick for edge line on various road under Sub Division Dhami under approved AMP for the FY- 2021-22,SH- Providing and laying of Hot Applied Thermoplastic compound 2.50 mm thick for edge line on various road under Sub Division Dhami under approved AMP for the FY- 2021-22.,As per tender documents ,NA ,"9,88,843",Civil Works - Roads,NA ,Tender,75.0,30.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,500.0,Nil,Nil,No,"20,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,258930.0,KULDEEP KUMAR VERMA,27-Jan-2022 04:53 PM,Rejected-Finance,L2 Bidder,09-May-2022 04:30 PM,,,,,,,,,,,,AOC,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,258823.0,Nikhil Sharma,27-Jan-2022 03:48 PM,Accepted-AOC,L1 Bidder,03-Aug-2022 01:38 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,258479.0,NITISH BHARDWAJ,26-Jan-2022 03:20 PM,Rejected-Technical,did not submitted the original affidavit,22-Feb-2022 04:43 PM,,,,,,,,,,,,AOC,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,258534.0,NOKH RAM SHARMA,27-Jan-2022 04:46 PM,Rejected-Finance,L2 Bidder,09-May-2022 04:30 PM,,,,,,,,,,,,AOC,,,.pdf,Work In Hand as Per General Rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,258154.0,Rajinder Singh,27-Jan-2022 03:43 PM,Rejected-Finance,L3 Bidder,09-May-2022 04:30 PM,,,,,,,,,,,,AOC,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,258100.0,RAMESHWAR THAKUR,27-Jan-2022 01:47 PM,Rejected-Finance,L5 bidder,09-May-2022 04:30 PM,,,,,,,,,,,,AOC,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PAN No. as per General Rules 1.2B(a)(i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
