Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
ErSudhirGupta,Internal,ShSureshKumarHDMShR.S ThakurSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,29-Aug-2022 12:01 PM,finsummary_94596.pdf (68.15 KB),29-Aug-2022,"INR 1,964,337",30.0,Sudhir Kumar Gupta,03-Apr-2023 11:40 AM,AOC62745_2.pdf (68.00 KB),AOC,PWD,2022_PWD_62745_2,SD-I-CTR-Tender-2021-2022- 6739 dated 05-07-2022,"C/O EVMs/VVPATs ware house at Fagu (SH P/L 80 mm thick paver, level in plinth and Collapsible door",ErSudhirGupta,Internal,ShSureshKumarHDMSShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,23-Jul-2022 12:12 PM,23-Jul-2022 02:00 PM,techsummary_94596.pdf (473.30 KB),Technical,Bid opening summary,Sudhir Kumar Gupta,23-Jul-2022 12:08 PM,technical_94596.pdf,1.0,292296.0,rakesh,21-Jul-2022 04:05 PM,Accepted-AOC,Awarded,03-Apr-2023 11:41 AM,Finance,Bid opening summary,Sudhir Kumar Gupta,25-Jul-2022 03:28 PM,finance_94596.pdf,BOQ Comparative Chart,1.0,292296.0,rakesh,INR,"2,058,596",AOC,PWD,SD-I-CTR-Tender-2021-2022- 6739 dated 05-07-2022,2022_PWD_62745_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"C/O EVMs/VVPATs ware house at Fagu (SH P/L 80 mm thick paver, level in plinth and Collapsible door","C/O EVMs/VVPATs ware house at Fagu (SH P/L 80 mm thick paver, level in plinth and Collapsible door",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,30.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,500.0,Nil,Nil,No,14-Jul-2022 06:00 PM,22-Jul-2022 11:00 AM,14-Jul-2022 06:00 PM,22-Jul-2022 10:00 AM,NA ,NA ,14-Jul-2022 06:00 PM,22-Jul-2022 10:00 AM,23-Jul-2022 02:00 PM,1.0,ICICI BANK,"39,300",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,292339.0,Rakesh Kumar Sharma,21-Jul-2022 10:04 PM,Rejected-Finance,2nd Lowest,29-Aug-2022 12:01 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.18),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.26.2a,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date,,,AOC
