Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,As per uploaded document,Manoj Sood,28-Mar-2022 12:38 PM,technical_86831.pdf,1.0,270735.0,M/S BRS Logistics,18-Mar-2022 02:22 PM,Accepted-AOC,Work completed,22-Aug-2022 03:06 PM,Finance,as per uploaded document,Manoj Sood,31-Mar-2022 01:05 PM,finance_86831.pdf,BOQ Comparative Chart,1.0,270735.0,M/S BRS Logistics,INR,"1,704,036","Er. B.M. Thakur, EE",Internal,"TA, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,31-Mar-2022 01:07 PM,finsummary_86831.pdf (654.99 KB),05-Apr-2022,"INR 1,074,796",90.0,Manoj Sood,22-Aug-2022 03:05 PM,57552.pdf (385.00 KB),AOC,PWD,2022_PWD_57552_1,20051-20100 dated 25.02.2022,P/M of link road Ghar to Ramnagar 0/00 to 4/00 under PMGSY road (HP0402VR004419303) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick bitumen concrete with paver finisher at RD 3/00 to 4/00 and Thermoplastic strips),Er. B.M. Thakur,Internal,"TA, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,28-Mar-2022 12:39 PM,28-Mar-2022 03:00 PM,techsummary_86831.pdf (1155.41 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,07-Mar-2022 11:00 AM,19-Mar-2022 11:30 AM,07-Mar-2022 11:00 AM,19-Mar-2022 11:00 AM,NA ,NA ,07-Mar-2022 11:00 AM,19-Mar-2022 11:00 AM,28-Mar-2022 03:00 PM,Executive Engineer,Palampur Division HP.PWD Palampur,P/M of link road Ghar to Ramnagar 0/00 to 4/00 under PMGSY road (HP0402VR004419303) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick bitumen concrete with paver finisher at RD 3/00 to 4/00 and Thermoplastic strips),P/M of link road Ghar to Ramnagar 0/00 to 4/00 under PMGSY road (HP0402VR004419303) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick bitumen concrete with paver finisher at RD 3/00 to 4/00 and Thermoplastic strips),Please refer Tender documents. ,NA ,"10,74,796",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,"21,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,20051-20100 dated 25.02.2022,2022_PWD_57552_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,AOC
,,,,,2.0,268900.0,M/s Kamala Enterprises,18-Mar-2022 09:14 PM,Rejected-Finance,Bidder is found L-2,31-Mar-2022 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
