Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Executive Engineer,Internal,AE Nagrota bagwan SR DAO SUpdt HDM,Ankit Kumar,21-Feb-2022 12:37 PM,finsummary_84243.pdf (197.28 KB),18-Aug-2022,"INR 3,502,950",120.0,Ankit Kumar,30-Aug-2022 11:14 AM,Award2.pdf (299.00 KB),Award,PWD,2022_PWD_55776_2,PWD- Civil-12686-12715-Tanda,Construction of Bridge over Chor Nallah on link road Nagrota Bagwan to Dhauladhar Colony Industrial Area road in Distt Kangra (HP). (SH-Balance work of extension of 10.37 mtr. Span RCC Bridge over Chor Nallah at RD 0/250 (Deposit work).,Executive Engineer,Internal,"AE Nagrota Bagwan , Sr DAO, Supdt, HDM",Suresh Kumar Walia,11-Feb-2022 02:48 PM,14-Feb-2022 01:00 PM,techsummary_84243.pdf (996.30 KB),1.0,259670.0,Shadil Thakur,INR,"2,877,707",Finance,Sum,Ankit Kumar,21-Feb-2022 12:34 PM,finance_84243.pdf,BOQ Comparative Chart,Technical,Sum,Suresh Kumar Walia,11-Feb-2022 02:46 PM,technical_84243.pdf,1.0,259560.0,Allwin Choudhary,29-Jan-2022 08:41 PM,Rejected-Finance,Lowest 3,21-Feb-2022 12:37 PM,AOC,Executive Engineer,HP PWD Executive Engineer Office Tanda,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,"1,500",Nil,Nil,No,"60,050",No,fixed,,Nil,Nil,PWD,PWD- Civil-12686-12715-Tanda,2022_PWD_55776_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,24-Jan-2022 05:00 PM,31-Jan-2022 11:30 AM,24-Jan-2022 05:00 PM,31-Jan-2022 10:00 AM,NA ,NA ,24-Jan-2022 05:00 PM,31-Jan-2022 10:00 AM,14-Feb-2022 01:00 PM,Construction of Bridge over Chor Nallah on link road Nagrota Bagwan to Dhauladhar Colony Industrial Area road in Distt Kangra (HP). (SH-Balance work of extension of 10.37 mtr. Span RCC Bridge over Chor Nallah at RD 0/250 (Deposit work).,Construction of Bridge over Chor Nallah on link road Nagrota Bagwan to Dhauladhar Colony Industrial Area road in Distt Kangra (HP). (SH-Balance work of extension of 10.37 mtr. Span RCC Bridge over Chor Nallah at RD 0/250 (Deposit work).,Please refer Tender documents. ,NA ,"35,02,950",Civil Works - Bridges,NA ,Tender,120.0,120.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer Office Tanda,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,259484.0,Anuj KAHLOH,29-Jan-2022 04:20 PM,Rejected-Finance,Lowest 2,21-Feb-2022 12:37 PM,AOC,,,,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,259444.0,atul thakur,29-Jan-2022 10:54 AM,Rejected-Finance,Lowest 5,21-Feb-2022 12:37 PM,AOC,,,,,.pdf,"GST, PAN No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,258442.0,BHAG SINGH,27-Jan-2022 09:05 PM,Rejected-Technical,Not Fulfill Criteria,11-Feb-2022 02:48 PM,AOC,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,259749.0,Rahul,30-Jan-2022 09:46 PM,Rejected-Finance,Lowest 6,21-Feb-2022 12:37 PM,AOC,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,259670.0,Shadil Thakur,30-Jan-2022 10:24 AM,Accepted-AOC,Award,30-Aug-2022 11:15 AM,AOC,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,259772.0,Sunny Kumar,31-Jan-2022 09:40 AM,Rejected-Finance,Lowest 7,21-Feb-2022 12:37 PM,AOC,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,259571.0,Vijay kumar,29-Jan-2022 05:29 PM,Rejected-Finance,Lowest 4,21-Feb-2022 12:37 PM,AOC,,,,,.pdf,EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
