Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,PWD,19995-85 dated 24.2.2022,2022_PWD_57350_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"26,800",No,fixed,,Nil,Nil,Executive Engineer,Palampur Division HPPWD Palampur,1.0,ICICI BANK,07-Mar-2022 10:00 AM,21-Mar-2022 11:30 AM,07-Mar-2022 10:00 AM,21-Mar-2022 11:00 AM,NA ,NA ,07-Mar-2022 10:00 AM,21-Mar-2022 11:00 AM,25-Mar-2022 11:00 AM,500.0,Nil,Nil,No,Periodical Maintenance of Parour Lahla Darati Gopalpur Ballah Jayun Sukeri Kandi Bandla Palampur road Km 0/00 to 33/380 under (MAJOR DISTRICT ROADS) (HP 0402 MDR055) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick Bituminous with Paver Finisher in Km 3/00,Periodical Maintenance of Parour Lahla Darati Gopalpur Ballah Jayun Sukeri Kandi Bandla Palampur road Km 0/00 to 33/380 under (MAJOR DISTRICT ROADS) (HP 0402 MDR055) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick Bituminous with Paver Finisher in Km 3/00,Please refer Tender documents. ,NA ,"13,37,523",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,AOC,Er.B.M Thakur,Internal,"T/A, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,24-Mar-2022 06:33 PM,25-Mar-2022 11:00 AM,techsummary_86549.pdf (1241.72 KB),PWD,2022_PWD_57350_1,19995-85 dated 24.2.2022,Periodical Maintenance of Parour Lahla Darati Gopalpur Ballah Jayun Sukeri Kandi Bandla Palampur road Km 0/00 to 33/380 under (MAJOR DISTRICT ROADS) (HP 0402 MDR055) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick Bituminous with Paver Finisher in Km 3/00,05-Apr-2022,"INR 1,337,523",90.0,Manoj Sood,19-Aug-2022 03:44 PM,57350.pdf (378.00 KB),AOC,Er.B.M Thakur,Internal,"TA, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,28-Mar-2022 07:55 PM,finsummary_86549.pdf (952.33 KB),1.0,270752.0,M/S BRS Logistics,18-Mar-2022 02:47 PM,Rejected-Finance,Bidder is found L-2,28-Mar-2022 07:55 PM,Technical,As per uploaded document,Manoj Sood,24-Mar-2022 06:31 PM,technical_86549.pdf,Finance,Financial opening summary,Manoj Sood,28-Mar-2022 07:51 PM,finance_86549.pdf,BOQ Comparative Chart,1.0,268908.0,M/s Kamala Enterprises,INR,"2,286,793",AOC
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268908.0,M/s Kamala Enterprises,21-Mar-2022 08:58 AM,Accepted-AOC,L-1,19-Aug-2022 03:45 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
