Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"4,000",Nil,Nil,No,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/21/2022/27,2022_PWRDW_25370_2,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD,"4,05,320",Yes,fixed,,Nil,Nil,1.0,SBI Bank,02-May-2022 04:30 PM,04-Jun-2022 02:30 PM,02-May-2022 04:45 PM,04-Jun-2022 02:00 PM,02-May-2022 04:55 PM ,12-May-2022 11:00 AM ,02-May-2022 04:55 PM,04-Jun-2022 02:00 PM,08-Jul-2022 02:30 PM,"Chief Engineer,(EAP) PWRD,Assam","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025",Construction of Road from Milan Das Parika House to Borboha PWRD road in Hojai District,APART/NOCP/ROADS/HOJ-01 Construction of Road from Milan Das Parika House to Borboha PWRD road of Dhanuharbasti Village in Hojai District (Length 1.40 KM) under APART,Please refer Tender documents. ,NA ,"2,02,66,000",Civil Works – Roads,NA ,Tender,90.0,360.0,Hoaji District,782435.0,"O/o The Chief Engineer,(EAP) PWRD,Assam ","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025 ",12-May-2022 11:00 AM ,"O/o The Chief Engineer,(EAP) PWRD,Assam",No ,No,AOC,Finance,Financial Bids has been opened,Pallavi Chakravorty,08-Jul-2022 03:55 PM,,BOQ Comparative Chart,Technical,Technical Bids has been opened,Pallavi Chakravorty,04-Jun-2022 07:16 PM,,1,148920,AFTAB UDDIN AHMED,04-Jun-2022 11:18 AM,Rejected-Finance,Rejected as L3,26-Jul-2022 05:29 PM,09-Aug-2022,INR 1.459152E+7,360.0,Pallavi Chakravorty,31-Aug-2022 04:58 PM,WO_RD-MilanDas.pdf (749.00 KB),"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",Pallavi Chakravorty,26-Jul-2022 05:28 PM,finsummary_39192.pdf (106.87 KB),Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_25370_2,CE/APART/21/2022/27,Construction of Road from Milan Das Parika House to Borboha PWRD road in Hojai District,1.0,148693.0,M/S R B CONSTRUCTION,INR,14591520.0,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",Pallavi Chakravorty,07-Jul-2022 08:52 PM,08-Jul-2022 02:30 PM,techsummary_39192.pdf (177.94 KB),AOC
,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,148872,Bora Electricals,02-Jun-2022 12:50 PM,Rejected-Finance,Rejected as L8,26-Jul-2022 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,149502,MAKHANLAL DUTTA,04-Jun-2022 12:59 PM,Rejected-Finance,Rejected as L7,26-Jul-2022 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,148695,Md. AsabUddin Choudhury,03-Jun-2022 07:32 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,07-Jul-2022 08:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,149210,M/S ANCC INFRA,04-Jun-2022 01:46 PM,Rejected-Finance,Rejected as L5,26-Jul-2022 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,149020,M/S GANGOTRI ENTERPRISE,03-Jun-2022 09:14 PM,Rejected-Finance,Rejected as L6,26-Jul-2022 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,148693,M/S R B CONSTRUCTION,02-Jun-2022 04:12 PM,Accepted-AOC,Awarded Contract Bidder,31-Aug-2022 05:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,149520,Rishabh Jain,04-Jun-2022 09:58 AM,Rejected-Finance,Rejected as L9,26-Jul-2022 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,148927,Sri Bimal Jyoti Mahanta,03-Jun-2022 11:12 AM,Rejected-Finance,Rejected as L4,26-Jul-2022 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,148933,Sri Dhrubajyoti Kakati,02-Jun-2022 07:18 PM,Rejected-Finance,Rejected as L2,26-Jul-2022 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,11,149500,Sri Manoj Pareek,03-Jun-2022 07:16 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,07-Jul-2022 08:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
