Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",THL-KNG05-729 (5837-87 dated 23.06.2022),2022_HPIPH_62044_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,23-Jun-2022 05:00 PM,02-Jul-2022 11:30 AM,23-Jun-2022 05:00 PM,01-Jul-2022 05:00 PM,NA ,NA ,23-Jun-2022 05:00 PM,01-Jul-2022 05:00 PM,11-Jul-2022 03:20 PM,Providing LWSS to PC habitation of GP Kiarwan and Chowkizona in Tehsil Palampur Distt. Kangra HP,Providing LWSS to PC habitation of GP Kiarwan and Chowkizona in Tehsil Palampur Distt. Kangra HP,Please refer Tender documents. ,NA ,"17,35,950",Miscellaneous Services,NA ,Tender,120.0,90.0,Providing LWSS to PC habitation of GP Kiarwan and,176107.0,NA ,NA ,NA ,O/O The Executive Engineer JSV Division Thural,No ,No,"34,719",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer JSV Division Thural,O/O The Executive Engineer JSV Division Thural,400.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Documents and Earnest money etc Shall be deposited through online mode ( E-Payment ).,AOC,Technical,3 Nos Contractor/Firm bid documents downloaded sucessfully summary attached,Anil Kumar,11-Jul-2022 03:16 PM,technical_93597.pdf,Finance,BOQ Downloaded sucessfully summary Attached,Anil Kumar,11-Jul-2022 03:50 PM,finance_93597.pdf,BOQ Comparative Chart,28-Jul-2022,"INR 1,970,800",90.0,Anil Kumar,02-Aug-2022 02:28 PM,AOC.pdf (53.00 KB),Sh. Saurabh Vasudeva Govt.Cont. Ward No.4 Palampur. Tehsil Palampur District Kangra HP.,1.0,289503.0,KULBINDER SINGH GOVT CONTRACTOR,01-Jul-2022 12:35 PM,Rejected-AOC,accept,02-Aug-2022 02:28 PM,Executive Engineer JSV Division Thural,Internal,"Tender Asstt,HDM,Supdtt,AEtoEE,Sr.Asstt.A/B",Anil Kumar,11-Jul-2022 03:18 PM,11-Jul-2022 03:20 PM,techsummary_93597.pdf (1701.05 KB),Executive Engineer JSV Division Thural,Internal,"Tender Asstt,HDM,Supttt,AEtoEE,Sr. Asstt, A/B",Anil Kumar,11-Jul-2022 04:08 PM,finsummary_93597.pdf (85.29 KB),1.0,288987.0,Saurabh Vasudeva,INR,"1,970,800","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Thural,Irrigation and Public Health,HP",2022_HPIPH_62044_1,THL-KNG05-729 (5837-87 dated 23.06.2022),Providing LWSS to PC habitation of GP Kiarwan and Chowkizona in Tehsil Palampur Distt. Kangra HP,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Certificate of Registration with JSV (IPH) Department in appropriate class and latest renewal th,AOC,,,,,,,,,,,,,,,,,,,2.0,289008.0,P C Construction,28-Jun-2022 05:08 PM,Rejected-AOC,accept,02-Aug-2022 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax and GST registration and latest clearance certificate thereof,AOC,,,,,,,,,,,,,,,,,,,3.0,288987.0,Saurabh Vasudeva,28-Jun-2022 04:16 PM,Accepted-AOC,accept,02-Aug-2022 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The list of similar nature work done/ completed /work in progress with performance certificate d,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration copy of EPF,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that any Government/Semi Government/Board/Corporation/ Private Organization etc h,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of authorization DSC be uploaded,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other conditions as per terms and conditions folder be required,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall supply equipment of make approved by HP Jal Shakti Vibhag,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
