Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Technical,as per uploaded document,Dalip singh Patial,04-May-2022 12:36 PM,technical_89343.pdf,1.0,276324.0,Sudha Kumari,10-Apr-2022 02:16 PM,Rejected-Finance,L2,19-Jun-2022,1.0,276646.0,TARUN FIRE SYSTEM,INR,"2,041,612",Finance,as per uploaded document,Dalip singh Patial,19-Jun-2022 04:38 PM,finance_89343.pdf,BOQ Comparative Chart,16-Aug-2022,"INR 1,945,293",365.0,Dalip singh Patial,19-Jul-2023 01:23 PM,AOC.pdf (886.00 KB),AS PER UPLOADED DOCUMENT,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO HDM/JDM of this office,Dalip singh Patial,19-Jun-2022 04:41 PM,finsummary_89343.pdf (142.50 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Sanjay Awasthi DAO Sh. Atul Nag JDM,Dalip singh Patial,04-May-2022 12:39 PM,11-May-2022 11:30 AM,techsummary_89343.pdf (222.49 KB),PWD,2022_PWD_59019_8,Elect. HPPWD Palampur,C/O Ware house for Storage of EVMs and VVPATs at Baloo near Chamba in Tehsil and Distt. Chamba (HP) (SH- Providing Fire fighting system therein),PWD,Elect. HPPWD Palampur,2022_PWD_59019_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,02-Apr-2022 06:00 PM,11-Apr-2022 11:30 AM,02-Apr-2022 06:00 PM,11-Apr-2022 10:00 AM,NA ,NA ,02-Apr-2022 06:00 PM,11-Apr-2022 10:00 AM,11-May-2022 11:30 AM,"36,700",No,fixed,,Nil,Nil,Executive Engineer,Elect. Division HPPWD Palampur,1.0,ICICI BANK,C/O Ware house for Storage of EVMs and VVPATs at Baloo near Chamba in Tehsil and Distt. Chamba (HP) (SH- Providing Fire fighting system therein),C/O Ware house for Storage of EVMs and VVPATs at Baloo near Chamba in Tehsil and Distt. Chamba (HP) (SH- Providing Fire fighting system therein),Please refer Tender documents. ,NA ,"19,45,294",Electrical Works,NA ,Tender,120.0,365.0,Chamba in Distt. Chamba,176061.0,NA ,NA ,NA ,Palampuur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and earnest money deposited,500.0,Nil,Nil,No
,,,,,2.0,276646.0,TARUN FIRE SYSTEM,10-Apr-2022 11:46 AM,Accepted-AOC,L1,19-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance Sheet regarding makes and models as per BOQ as per tender document page-147,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of similar nature of work done as per tender document page-147,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,
