EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"38,900",No,fixed,,Nil,Nil,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),1.0,ICICI BANK,21-Jul-2022 05:00 PM,29-Jul-2022 10:30 AM,21-Jul-2022 05:00 PM,29-Jul-2022 10:00 AM,NA ,NA ,21-Jul-2022 05:00 PM,29-Jul-2022 10:00 AM,11-Aug-2022 10:30 AM,"C/O Maa Bhagyani Mandir to Morach Kelvi road km. 0/0 to 9/0.(SH C/O 900mm dia RCC hume pipe culvert at RD. 0/990, 2/555, 3/600, 4/420, 5/970, 6/580, 6/880 and 7/230 with wing wall in Random Rubble Masonry CM 1.6) Under MNP","C/O Maa Bhagyani Mandir to Morach Kelvi road km. 0/0 to 9/0.(SH C/O 900mm dia RCC hume pipe culvert at RD. 0/990, 2/555, 3/600, 4/420, 5/970, 6/580, 6/880 and 7/230 with wing wall in Random Rubble Masonry CM 1.6) Under MNP",Please refer Tender documents. ,NA ,"19,44,376",Civil Works,NA ,Tender,75.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,PWD,Sangrah 3970-4000 dated 14.07.2022,2022_PWD_62866_23,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,AOC,Finance,Summary,Rattan Kumar Sharma,18-Aug-2022 11:12 AM,finance_94824.pdf,BOQ Comparative Chart,Technical,Summary,Rattan Kumar Sharma,08-Aug-2022 11:48 AM,technical_94824.pdf,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,10-Aug-2022 02:41 PM,11-Aug-2022 10:30 AM,techsummary_94824.pdf (603.59 KB),1.0,293332.0,ASHOK KUMAR,28-Jul-2022 06:38 PM,Rejected-Finance,L2,18-Aug-2022 11:18 AM,18-Aug-2022,"INR 1,829,158",90.0,Hari Chand Chauhan,29-Aug-2022 03:53 PM,93.pdf (947.00 KB),AOC,1.0,293500.0,RAKESH KUMAR,INR,"1,829,158",Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,18-Aug-2022 11:18 AM,finsummary_94824.pdf (230.48 KB),PWD,2022_PWD_62866_23,Sangrah 3970-4000 dated 14.07.2022,"C/O Maa Bhagyani Mandir to Morach Kelvi road km. 0/0 to 9/0.(SH C/O 900mm dia RCC hume pipe culvert at RD. 0/990, 2/555, 3/600, 4/420, 5/970, 6/580, 6/880 and 7/230 with wing wall in Random Rubble Masonry CM 1.6) Under MNP",AOC
,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,293500.0,RAKESH KUMAR,29-Jul-2022 09:52 AM,Accepted-AOC,AOC,29-Aug-2022 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,24.4. GST CLEARANCE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
