Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,NAHAN 2274-2304,2022_PWD_61858_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"C/o 10.00 meter Indoor Shooting Range at Nahan, Sirmaur (HP)","C/o Balance Work of Building Portion, Water Supply, Sanitary Installation, C/o Septic Tank along with Soak Pit, Rain Water Harvesting Tank etc.",As per Bidding Documents ,NA ,"65,47,475",Civil Works - Buildings,NA ,Tender,75.0,120.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,Executive Engineer,Executive Engineer HPPWD Division Nahan,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,"98,000",No,fixed,,Nil,Nil,18-Jun-2022 05:00 PM,27-Jun-2022 11:00 AM,18-Jun-2022 05:00 PM,27-Jun-2022 10:00 AM,NA ,NA ,18-Jun-2022 05:00 PM,27-Jun-2022 10:00 AM,29-Jun-2022 04:05 PM,"2,000",Nil,Nil,No,AOC,Er. V. K. Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,29-Jun-2022 04:02 PM,29-Jun-2022 04:05 PM,techsummary_93360.pdf (1011.61 KB),PWD,2022_PWD_61858_2,NAHAN 2274-2304,"C/o 10.00 meter Indoor Shooting Range at Nahan, Sirmaur (HP)",16-Aug-2022,"INR 6,547,475",120.0,Vijay Kumar Aggarwal,30-Aug-2022 01:03 PM,AOC_61858_2.PDF (61.00 KB),Er. V. K. Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,30-Jun-2022 11:37 AM,finsummary_93360.pdf (458.04 KB),1.0,288041.0,Lal Singh Chauhan Contractor,25-Jun-2022 12:37 PM,Rejected-Finance,L2,30-Jun-2022 11:37 AM,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,29-Jun-2022 11:21 AM,technical_93360.pdf,1.0,287787.0,Pratap Singh,INR,"5,823,161",Finance,Financial Bids were opened on 29.06.2022,Vijay Kumar Aggarwal,30-Jun-2022 11:32 AM,None,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,287787.0,Pratap Singh,22-Jun-2022 05:16 PM,Accepted-AOC,L1,30-Aug-2022 01:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,287731.0,Rakesh Chaudhary,25-Jun-2022 09:44 PM,Rejected-Finance,L3,30-Jun-2022 11:37 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificates,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Work(s)-in-Hand,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Profit and Loss Statements and Annual Turnover Report from Chartered Accountant,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and List of Technical Staff,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-8,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact Detail i.e. e-mail ID and Mobile No. of the Bidder,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ in .xls Format,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
