Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Techno commercial bid summary,Chhote Lal Sharma,06-May-2022 12:24 PM,technical_90237.pdf,Finance,Price Bid Opening Summary,Chhote Lal Sharma,24-May-2022 12:52 PM,finance_90237.pdf,BOQ Comparative Chart,04-Aug-2022,"INR 27,782,518",180.0,Suraj Pandey,04-Aug-2022 03:04 PM,TE062022.pdf (342.00 KB),Purchase order placed to 02 Nos. firms on dated 11.07.2022,1.0,280273.0,GUARDIAN CABLES AND CONDUCTORS PVT LTD,05-May-2022 11:45 AM,Rejected-Technical,Due to non submission of previous placed purchase orders and performance certificate as per NIT,23-May-2022 05:56 PM,Sr. Executive Engineer III,Internal,Sr. Executive Engineer III Assistant Engineer,Ashok Dhiman,23-May-2022 05:56 PM,24-May-2022 12:30 PM,techsummary_90237.pdf (413.85 KB),HPSEBL,2022_HPSEB_59630_1,CE(MM)-06/2022,"Procurement of ISI marked PVC insulated,PVC sheathed weather proof twin core cable of size 6mm sq. and 10mm sq.",1.0,278897.0,Saraswati Cables & Allied Industries Pvt Ltd,INR,"13,146,551",Sr. Executive Engineer III,Internal,Assistant Engineer Account officer,Suraj Pandey,04-Aug-2022 03:01 PM,finsummary_90237.pdf (341.81 KB),AOC,18-Apr-2022 06:00 PM,06-May-2022 11:30 AM,18-Apr-2022 06:00 PM,05-May-2022 12:00 PM,NA ,NA ,19-Apr-2022 10:00 AM,05-May-2022 12:00 PM,24-May-2022 12:30 PM,"Chief Engineer (MM), Shimla",Vidyut Bhawan Shimla-171004,1.0,ICICI BANK,"1,180",Nil,Nil,No,"2,58,700",Yes,fixed,,Nil,Nil,HPSEBL,CE(MM)-06/2022,2022_HPSEB_59630_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,"Procurement of ISI marked PVC insulated,PVC sheathed weather proof twin core cable of size 6mm sq. and 10mm sq.","Procurement of ISI marked PVC insulated,PVC sheathed weather proof twin core cable of size 6mm sq. and 10mm sq.",As per NIT ,EMD amount for local firms registered with HPSEBL is NIL and for other firms is Rs. 2.587 Lac ,"2,58,71,499",Electrical Work/ Equipment,PVC twin core cable ,Tender,120.0,180.0,"Office of CE (MM), Vidyut Bhawan, Shimla",171004.0,NA ,NA ,NA ,"Office of CE (MM), Vidyut Bhawan, Shimla",No ,No,1.0,Fee,.pdf,Proof of tender fee,AOC
,,,,,,,,,,,,,,,,,,2.0,279864.0,Himachal Aluminium and Conductors,04-May-2022 05:30 PM,Accepted-AOC,Quoted L-I rates for 10 mm2,04-Aug-2022 03:06 PM,,,,,,,,,,,,2.0,279864.0,Himachal Aluminium and Conductors,INR,"14,635,967",,,,,,,AOC,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,AOC
,,,,,,,,,,,,,,,,,,3.0,280202.0,Preeti Industries,04-May-2022 08:41 PM,Rejected-AOC,Not Quoted L-I rates for any quoted item,04-Aug-2022 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.xls,Technical Bid along with GTPs,AOC
,,,,,,,,,,,,,,,,,,4.0,280306.0,Ravi Industries,04-May-2022 01:45 PM,Rejected-Technical,Due to non submission of previous placed purchase orders and performance certificate as per NIT,23-May-2022 05:56 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Purchase order/Supply orders and performance certificate thereof,AOC
,,,,,,,,,,,,,,,,,,5.0,278897.0,Saraswati Cables & Allied Industries Pvt Ltd,04-May-2022 03:46 PM,Accepted-AOC,Quoted L-I rates for 6 mm2,04-Aug-2022 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Type test report of offered material and Renewed BIS certificate and Renewed ISO certificate,AOC
,,,,,,,,,,,,,,,,,,6.0,280474.0,Shaan Aluminium Company,04-May-2022 08:26 PM,Rejected-AOC,Not Quoted L-I rates for any quoted item,04-Aug-2022 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Capacity assessment and list of machinery,Testing Equip.,acceptance, routine tests to be carried out",AOC
,,,,,,,,,,,,,,,,,,7.0,279763.0,UPHAR CABLE INDUSTRIES UNIT - II,29-Apr-2022 05:11 PM,Rejected-AOC,Not Quoted L-I rates for any quoted item,04-Aug-2022 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of arbitration/court cases and blacklisted/debarred by any Govt./Semi Govt. organization,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheet of last three years,detail of bought out items.acc.,fittings part of offered material",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST reg. No.,PAN No. a/w Income tax and GST clearance certificate",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney/Board of resolution to sign the bid doc and acceptance of terms and conditions,AOC
