Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
C/o Boundary wall Govt.College Jawalamukhi Tehsil J/Mukhi Distt. Kangra (H.P),Construction of Boundary wall Govt.College J/Mukhi,Please refer to tender documents ,NA ,"24,11,320",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE HPPWD Division Dehra,No ,No,Executive Engineer,HPPWD Division Dehra,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,04-Jul-2022 10:00 AM,12-Jul-2022 11:30 AM,04-Jul-2022 10:00 AM,11-Jul-2022 06:00 PM,NA ,NA ,04-Jul-2022 10:00 AM,11-Jul-2022 06:00 PM,26-Jul-2022 02:00 PM,PWD,EE Dehra Letter No.2859-64 dt. 15.06.2022,2022_PWD_62396_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"48,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,PWD,2022_PWD_62396_7,EE Dehra Letter No.2859-64 dt. 15.06.2022,C/o Boundary wall Govt.College Jawalamukhi Tehsil J/Mukhi Distt. Kangra (H.P),EE Dehra,Internal,"DHD,Supdt,DAO",Dinesh Kumar Dhiman,26-Jul-2022 01:10 PM,26-Jul-2022 02:00 PM,techsummary_94084.pdf (605.83 KB),EE Dehra,Internal,"DHD,Supdt,DAO",Dinesh Kumar Dhiman,28-Aug-2022 04:24 PM,finsummary_94084.pdf (177.95 KB),28-Aug-2022,"INR 2,411,320",30.0,Dinesh Kumar Dhiman,28-Aug-2022 04:29 PM,Award.pdf (649.00 KB),Work awarded issued,1.0,290712.0,Deep kumar Govt. Contractor,11-Jul-2022 09:22 AM,Rejected-Finance,Highest Bidder,28-Aug-2022 04:24 PM,Technical,Summary,Dinesh Kumar Dhiman,26-Jul-2022 12:39 PM,technical_94084.pdf,1.0,290124.0,RAJ KUMAR,INR,"2,128,729",Finance,Summary,Dinesh Kumar Dhiman,28-Aug-2022 04:18 PM,finance_94084.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,290450.0,MUKESH CHAND,11-Jul-2022 03:28 PM,Rejected-Finance,Highest Bidder,28-Aug-2022 04:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration with copy of Return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,290124.0,RAJ KUMAR,11-Jul-2022 02:02 PM,Accepted-AOC,L1,28-Aug-2022 04:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commentments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card with IT Return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF with return of previous FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
