S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,293901.0,ECS ENGINEERING CHD PVT LTD,02-Aug-2022 01:27 PM,Rejected-Finance,Rejected,25-Aug-2022 04:53 PM,Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,06-Aug-2022 12:33 PM,06-Aug-2022 12:35 PM,techsummary_95136.pdf (803.92 KB),25-Aug-2022,"INR 3,271,310",90.0,Mohan Singh Guleria,25-Aug-2022 04:54 PM,Award24.pdf (3704.00 KB),Detail award uploaded,Technical,Technical Document downloaded successfully,Mohan Singh Guleria,03-Aug-2022 11:52 AM,technical_95136.pdf,Finance,Price BID downloaded successfully,Mohan Singh Guleria,06-Aug-2022 12:40 PM,finance_95136.pdf,BOQ Comparative Chart,1.0,293900.0,M/S AMAN ELECTRICAL AND ENGG WORKS,INR,"3,271,310",HPSEBL||CE(OP) South||SE(OP) Solan,2022_HPSEB_63093_1,24-2022-23,24-2022-23,Superintending Engineer,Internal,Committee Member detail uploaded,Mohan Singh Guleria,25-Aug-2022 04:53 PM,finsummary_95136.pdf (803.92 KB),AOC,1.0,ICICI BANK,24-2022-23,E Tendering on partial turnkey basis for providing erection testing and commissioning of RMUs and 630 KVA LT Pannel alongwith Augmentation of 11 0 4 250 to 630 KVA DTR at Sector 6 Sector 4 and Sector 1 under ESD HPSEBL Parwanoo,A Class Electrical License ,NA ,"39,94,273",Electrical Works,RMU and Aug of DTR 250 to 630 ,Tender,180.0,90.0,Solan Circle,173211.0,NA ,NA ,NA ,SE (OP) Circle,No ,No,Superintending Engineer,"SE (OP) Circle, HPSEBL, Solan Power House Road Saproon Solan","1,180",Nil,Nil,No,HPSEBL||CE(OP) South||SE(OP) Solan,24-2022-23,2022_HPSEB_63093_1,Yes,Open Tender,Turn-key,Works,3.0,No,No,Online,No,No,No,1.0,Fee,.pdf,Proof of EMD and Tender Fee,27-Jul-2022 10:00 AM,03-Aug-2022 11:30 AM,27-Jul-2022 10:05 AM,02-Aug-2022 04:00 PM,27-Jul-2022 10:10 AM ,28-Jul-2022 12:00 PM ,28-Jul-2022 12:05 PM,02-Aug-2022 04:00 PM,06-Aug-2022 12:35 PM,"39,943",No,percentage,1.0%,Nil,Nil,AOC
2.0,293951.0,kaushal Electricals,02-Aug-2022 02:47 PM,Rejected-Technical,Due to none submission of Required document,06-Aug-2022 12:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,A-Class Electrical License with Chief Electrical Inspector Shimla,,,,,,,,,,,,,,,,AOC
3.0,293937.0,Krishna Construction & Trading Company,02-Aug-2022 12:33 PM,Rejected-Finance,Rejected,25-Aug-2022 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity/Turnover Certificate with CA Certified,,,,,,,,,,,,,,,,AOC
4.0,293900.0,M/S AMAN ELECTRICAL AND ENGG WORKS,02-Aug-2022 10:29 AM,Accepted-AOC,Accepted,25-Aug-2022 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Certificate,,,,,,,,,,,,,,,,AOC
5.0,293880.0,Nivesh Engineering and Power Solutions,02-Aug-2022 02:54 PM,Rejected-Finance,Rejected,25-Aug-2022 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,AOC
6.0,293850.0,SRP POWERTECH SOLUTIONS LLP,02-Aug-2022 12:32 PM,Rejected-Finance,Rejected,25-Aug-2022 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate/Completion Certifiecate as per SBD Volume-I, Section-III, Clause NO. 1.0",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of ownership/litigation,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO/ESI NO.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if applicable,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,Price BID,,,,,,,,,,,,,,,,AOC
