Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Executive Engineer,Internal,AE DAO Supdt HDM,Ankit Kumar,06-Aug-2022 01:24 PM,finsummary_94758.pdf (17.93 KB),18-Aug-2022,"INR 1,281,396",90.0,Ankit Kumar,30-Aug-2022 11:19 AM,Award3.pdf (326.00 KB),Award,PWD,2022_PWD_61899_5,PWD- Civil-3753-82-Tanda,Construction of Govt. Senior Secondary School at Aerla in Tehsil Baroh Distt Kangra (HP) (SH-Balance work of building portion etc (Deposit work),Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,30-Jul-2022 12:57 PM,01-Aug-2022 10:00 AM,techsummary_94758.pdf (813.11 KB),Finance,Sum,Ankit Kumar,06-Aug-2022 01:23 PM,finance_94758.pdf,BOQ Comparative Chart,1.0,292120.0,AJIT SINGH GOVT CONTRACTOR,INR,"1,103,086",Technical,sum,Suresh Kumar Walia,30-Jul-2022 12:56 PM,technical_94758.pdf,1.0,292120.0,AJIT SINGH GOVT CONTRACTOR,23-Jul-2022 06:24 PM,Accepted-AOC,Award,30-Aug-2022 11:20 AM,AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,19-Jul-2022 12:00 PM,25-Jul-2022 11:00 AM,19-Jul-2022 12:00 PM,25-Jul-2022 09:00 AM,NA ,NA ,19-Jul-2022 12:00 PM,25-Jul-2022 09:00 AM,01-Aug-2022 10:00 AM,1.0,ICICI BANK,PWD,PWD- Civil-3753-82-Tanda,2022_PWD_61899_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Govt. Senior Secondary School at Aerla in Tehsil Baroh Distt Kangra (HP) (SH-Balance work of building portion etc (Deposit work),Construction of Govt. Senior Secondary School at Aerla in Tehsil Baroh Distt Kangra (HP) (SH-Balance work of building portion etc (Deposit work),Please refer Tender documents. ,NA ,"12,81,396",Civil Works - Buildings,NA ,Tender,120.0,90.0,Nagrota Bagwan,176002.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,500.0,Nil,Nil,No,"25,650",No,fixed,,Nil,Nil,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,292573.0,parveen kumar,23-Jul-2022 08:07 PM,Rejected-Finance,Lowest 2,06-Aug-2022 01:24 PM,AOC,,,.pdf,Contractor registration,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Pan, GST Registration, EPF No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
