Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. Rajesh Kumar. EE,Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,29-Nov-2021 11:55 AM,finsummary_79378.pdf (442.96 KB),21-Jan-2022,"INR 2,497,536",272.0,Arvind Chaudhary,26-Aug-2022 02:33 PM,Awardletter.pdf (2270.00 KB),Work awarded vide letter No. 14854-63 dt. 21.01.2022,PWD,2021_PWD_53076_1,Job 2 Construction of 4 nos. classroom at Govt. Sr,Job 2 Construction of 4 nos. classroom at Govt. Sr. Sec. School Polian Tehsil Haroli and Distt. Una HP. Sub Head Construction of Building portion),"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,20-Nov-2021 04:17 PM,25-Nov-2021 10:00 AM,techsummary_79378.pdf (666.56 KB),Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,30-Oct-2021 07:40 PM,technical_79378.pdf,1.0,241132.0,Anil Kumar,29-Oct-2021 08:13 PM,Rejected-Technical,As per Bid Evaluations,20-Nov-2021 04:17 PM,1.0,241391.0,Nitish Thakur,INR,"3,639,684",Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,29-Nov-2021 10:59 AM,finance_79378.pdf,BOQ Comparative Chart,AOC,"45,000",No,fixed,,Nil,Nil,25-Oct-2021 09:00 AM,30-Oct-2021 11:00 AM,25-Oct-2021 09:00 AM,30-Oct-2021 09:00 AM,NA ,NA ,25-Oct-2021 09:00 AM,30-Oct-2021 09:00 AM,25-Nov-2021 10:00 AM,PWD,Job 2 Construction of 4 nos. classroom at Govt. Sr,2021_PWD_53076_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",500.0,Nil,Nil,No,1.0,ICICI BANK,Job 2 Construction of 4 nos. classroom at Govt. Sr. Sec. School Polian Tehsil Haroli and Distt. Una HP. Sub Head Construction of Building portion),Job 2 Construction of 4 nos. classroom at Govt. Sr. Sec. School Polian Tehsil Haroli and Distt. Una HP. Sub Head Construction of Building portion),Please refer to Bidding Documents ,NA ,"24,97,536",Civil Works - Buildings,NA ,Tender,75.0,272.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,241549.0,MAHESH ANGRA,29-Oct-2021 10:11 PM,Rejected-Technical,As per Bid Evaluations,20-Nov-2021 04:17 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,241547.0,Mehta Enterprises,29-Oct-2021 10:24 PM,Rejected-Technical,As per Bid Evaluations,20-Nov-2021 04:17 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,241391.0,Nitish Thakur,29-Oct-2021 11:04 AM,Accepted-AOC,ok,26-Aug-2022 02:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,241548.0,Prafull Bedi,29-Oct-2021 11:19 PM,Rejected-Technical,As per Bid Evaluations,20-Nov-2021 04:17 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,241488.0,unique engg. solutions,29-Oct-2021 11:49 AM,Rejected-AOC,ok,26-Aug-2022 02:35 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card issued by Income Tax Authorities.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
