Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
29-Aug-2022,"INR 2,032,738",60.0,Pramod Upreti,29-Aug-2022 01:37 PM,panogajroli.pdf (758.00 KB),AOC,EE shillai,Internal,"AE Shillai,HDM, Supdt. TA",Pramod Upreti,18-Feb-2022 11:24 AM,finsummary_84088.pdf (135.82 KB),EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,04-Feb-2022 01:50 PM,04-Feb-2022 03:00 PM,techsummary_84088.pdf (2304.54 KB),PWD,2022_PWD_55939_2,TA-13886-13985dt-14-1-22,"Construction of link road from Panog to Ajroli Km 0/0 to 3/00 ( SH- Construction of Retaining walls at RDs 0/105 to 0/117, 0/255 to 0/290, 0/352 to 0/355, 0/365 to 0/368, 0/645 to 0/655, 0/666 to 0/671, 1/006 to 1/045, 1/320 to 1/325, 1/335 to 1/",Technical,technical summary,Pramod Upreti,04-Feb-2022 01:44 PM,technical_84088.pdf,1.0,259950.0,AJAY CHAUHAN,31-Jan-2022 04:59 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:24 AM,1.0,259394.0,RAJPAL THAKUR,INR,"2,032,738",Finance,financial summary,Pramod Upreti,04-Feb-2022 04:42 PM,finance_84088.pdf,BOQ Comparative Chart,AOC,20-Jan-2022 05:00 PM,01-Feb-2022 12:30 PM,20-Jan-2022 05:00 PM,31-Jan-2022 05:00 PM,NA ,NA ,20-Jan-2022 05:00 PM,31-Jan-2022 05:00 PM,04-Feb-2022 03:00 PM,"1,500",Nil,Nil,No,EE Shillai,Executive Engineer HPPWD shillai,"51,100",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,"Construction of link road from Panog to Ajroli Km 0/0 to 3/00 ( SH- Construction of Retaining walls at RDs 0/105 to 0/117, 0/255 to 0/290, 0/352 to 0/355, 0/365 to 0/368, 0/645 to 0/655, 0/666 to 0/671, 1/006 to 1/045, 1/320 to 1/325, 1/335 to 1/","Construction of link road from Panog to Ajroli Km 0/0 to 3/00 ( SH- Construction of Retaining walls at RDs 0/105 to 0/117, 0/255 to 0/290, 0/352 to 0/355, 0/365 to 0/368, 0/645 to 0/655, 0/666 to 0/671, 1/006 to 1/045, 1/320 to 1/325, 1/335 to 1/",NA ,NA ,"29,04,301",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,1.0,ICICI BANK,PWD,TA-13886-13985dt-14-1-22,2022_PWD_55939_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,259879.0,dinesh singta,31-Jan-2022 04:50 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:24 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,259880.0,IDP,31-Jan-2022 04:36 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:24 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,259052.0,M/S VIKRAM SINGH,27-Jan-2022 06:32 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:24 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,259685.0,PARDEEP SINGH,31-Jan-2022 02:45 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:24 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,259394.0,RAJPAL THAKUR,31-Jan-2022 04:44 PM,Accepted-AOC,AOC,29-Aug-2022 01:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,259684.0,RANDEEP CHAUHAN,30-Jan-2022 01:19 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:24 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,258766.0,SAHI RAM CONTRACTOR,31-Jan-2022 03:20 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:24 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work in hand general rule sr. No 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
