Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"4,900",Nil,Nil,No,HP SIDC Limited,Job No. 1,2022_SIDC_61861_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Construction of Industrial Shed for processing and furniture making unit at Vill. Ghandawal Distt. Una (HP). (Under National bamboo Mission),Construction of Industrial Shed for processing and furniture making unit at Vill. Ghandawal Distt. Una (HP). (Under National bamboo Mission),Please refer Tender documents. ,NA ,"42,16,645",Civil Works,NA ,Tender,120.0,240.0,Ghandawal (Una),174302.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,18-Jun-2022 04:45 PM,27-Jun-2022 11:00 AM,18-Jun-2022 04:45 PM,25-Jun-2022 05:00 PM,NA ,NA ,18-Jun-2022 04:45 PM,25-Jun-2022 05:00 PM,02-Jul-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"70,800",No,fixed,,Nil,Nil,Executive Engineer,HPSIDC Shimla,AOC,28-Jul-2022,"INR 5,398,611",240.0,BHUP SINGH,02-Aug-2022 03:52 PM,bagga.pdf (1538.00 KB),AOC,1.0,287955.0,M/S Parminder Singh Bagga Govt Contractor,INR,"5,398,611",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,04-Jul-2022 01:27 PM,finsummary_93363.pdf (29.17 KB),HP SIDC Limited,2022_SIDC_61861_1,Job No. 1,Construction of Industrial Shed for processing and furniture making unit at Vill. Ghandawal Distt. Una (HP). (Under National bamboo Mission),Finance,Financial summary,Sushant Singh Negi,04-Jul-2022 01:24 PM,None,BOQ Comparative Chart,Technical,Tender Summary,BHUP SINGH,01-Jul-2022 04:07 PM,None,SE,Internal,"DM, Manager(F), AE(HQ)",BHUP SINGH,01-Jul-2022 04:10 PM,02-Jul-2022 11:00 AM,techsummary_93363.pdf (455.64 KB),1.0,288403.0,Amardeep Singh,25-Jun-2022 12:01 AM,Rejected-Finance,Second lowest bidder,04-Jul-2022 01:27 PM,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,287955.0,M/S Parminder Singh Bagga Govt Contractor,25-Jun-2022 03:30 PM,Accepted-AOC,AOC,02-Aug-2022 03:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
