Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
25-Aug-2022,"INR 2,942,780",730.0,Dalip singh Patial,25-Aug-2022 01:42 PM,awardboyshostelpharamacy.pdf (672.00 KB),awarded to the lowest contractor vide this office letter no.3382-87 dated 18.07.2022,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO HDM/JDM of this office,Dalip singh Patial,19-Jun-2022 04:18 PM,finsummary_84985.pdf (143.22 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,03-Mar-2022 12:41 PM,05-Mar-2022 11:30 AM,techsummary_84985.pdf (238.91 KB),PWD,2022_PWD_56440_6,Elect. Division HPPWD Palampur,C/O Boys Hostel at Govt. Pharmacy College Nagrota Bagwan Distt. Kangra (HP) (SH- Providing Internal E.I. therein),Technical,as per uploaded document,Dalip singh Patial,03-Mar-2022 12:40 PM,technical_84985.pdf,1.0,263032.0,Deepak Sood,14-Feb-2022 12:01 AM,Accepted-AOC,the bidder is lowest (L1),25-Aug-2022 01:44 PM,1.0,263032.0,Deepak Sood,INR,"3,841,923",Finance,as per uploaded document,Dalip singh Patial,25-May-2022 10:31 AM,finance_84985.pdf,BOQ Comparative Chart,AOC,"1,500",Nil,Nil,No,1.0,ICICI BANK,PWD,Elect. Division HPPWD Palampur,2022_PWD_56440_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O Boys Hostel at Govt. Pharmacy College Nagrota Bagwan Distt. Kangra (HP) (SH- Providing Internal E.I. therein),C/O Boys Hostel at Govt. Pharmacy College Nagrota Bagwan Distt. Kangra (HP) (SH- Providing Internal E.I. therein),Please refer Tender documents. ,NA ,"29,42,780",Electrical Works,NA ,Tender,120.0,730.0,Nagrota Bagwan in Distt. Kangra,176047.0,NA ,NA ,NA ,Palampur,No ,No,Executive Engineer,Electrical Division HPPWD Palampur,"51,700",No,fixed,,Nil,Nil,05-Feb-2022 05:00 PM,14-Feb-2022 11:30 AM,05-Feb-2022 05:00 PM,14-Feb-2022 10:00 AM,NA ,NA ,05-Feb-2022 05:00 PM,14-Feb-2022 10:00 AM,05-Mar-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,263071.0,SHARMA ELECTRICAL CO.,12-Feb-2022 12:14 PM,Rejected-Finance,L3,19-Jun-2022 04:18 PM,,,,,,,,,,,,AOC,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,262454.0,Trilochan Singh,12-Feb-2022 01:55 PM,Rejected-Finance,L2,19-Jun-2022 04:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (minimum one similar work not less than 40 percent of estimated cost),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules 2021,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities,AOC
