Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
09-Feb-2022 03:30 PM,15-Feb-2022 11:00 AM,09-Feb-2022 03:30 PM,14-Feb-2022 06:00 PM,NA ,NA ,09-Feb-2022 03:30 PM,14-Feb-2022 06:00 PM,08-Mar-2022 01:15 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,"11,200",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,500.0,Nil,Nil,No,C/O Thamtari Junidhar School Naunapani road km 0/0 to 4/500,(SH-C/O B/wall at RD 0/100 to 0/130),Please refer Tender documents. ,NA ,"5,55,722",Civil Works - Roads,NA ,Tender,60.0,60.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,PWD,PW-RD-GA-TD11848-947Dt6-12-21,2022_PWD_56588_5,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC,1.0,263453.0,Laiq Ram,INR,"570,006",Finance,Bid Opening Summary,Duni Chand Chauhan,08-Mar-2022 03:12 PM,finance_85233.pdf,BOQ Comparative Chart,1.0,263452.0,Jeevan Jyoti,14-Feb-2022 04:48 PM,Rejected-Finance,TENDER AWARDED TO FIRST LOWEST,23-Apr-2022 05:10 PM,Technical,Bid Opening Summary,Duni Chand Chauhan,08-Mar-2022 12:51 PM,technical_85233.pdf,PAWAN KUMAR,Internal,AE TO EE,Duni Chand Chauhan,08-Mar-2022 01:07 PM,08-Mar-2022 01:15 PM,techsummary_85233.pdf (392.15 KB),PWD,2022_PWD_56588_5,PW-RD-GA-TD11848-947Dt6-12-21,C/O Thamtari Junidhar School Naunapani road km 0/0 to 4/500,23-Aug-2022,"INR 570,006",60.0,Pawan Kumar Garg,23-Aug-2022 03:26 PM,CCF_000350.pdf (421.00 KB),LOA,PAWAN KUMAR,Internal,AE TO EE,Duni Chand Chauhan,23-Apr-2022 05:10 PM,finsummary_85233.pdf (69.00 KB),AOC
,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,263453.0,Laiq Ram,14-Feb-2022 04:51 PM,Accepted-AOC,Work Completred,23-Aug-2022 03:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"physical submission submit should be compalsory otherwise tender will be rejected,UTR No copy should",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
