Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
500.0,Nil,Nil,No,PWD,Sangrah 2058-83 Dated 07.06.2022,2022_PWD_61819_28,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),"29,000",No,fixed,,Nil,Nil,"C/O Renuka Sataun Road for proposal of Double lane road Km. 5/00 to 13/450 (SH Geological investigation of soil Strata for construction of bridge at RD. 5/070,6/025,10/615,11/810 and 12/925)","C/O Renuka Sataun Road for proposal of Double lane road Km. 5/00 to 13/450 (SH Geological investigation of soil Strata for construction of bridge at RD. 5/070,6/025,10/615,11/810 and 12/925)",Please refer Tender documents. ,NA ,"14,50,000",Civil Works,NA ,Tender,75.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,21-Jun-2022 05:00 PM,29-Jun-2022 10:30 AM,21-Jun-2022 05:00 PM,29-Jun-2022 10:00 AM,NA ,NA ,21-Jun-2022 05:00 PM,29-Jun-2022 10:00 AM,06-Jul-2022 10:30 AM,AOC,Finance,SUMMARY,Rattan Kumar Sharma,11-Jul-2022 12:14 PM,finance_93322.pdf,BOQ Comparative Chart,1.0,288866.0,Geo Tech Engineer and Consultants,28-Jun-2022 11:19 PM,Accepted-AOC,AOC,09-Aug-2022 10:22 AM,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,05-Jul-2022 04:51 PM,06-Jul-2022 10:30 AM,techsummary_93322.pdf (550.38 KB),Technical,Summary,Rattan Kumar Sharma,04-Jul-2022 11:18 AM,technical_93322.pdf,1.0,288866.0,Geo Tech Engineer and Consultants,INR,"1,050,000",04-Aug-2022,"INR 1,050,000",90.0,Rattan Kumar Sharma,09-Aug-2022 10:22 AM,71.pdf (953.00 KB),AOC,PWD,2022_PWD_61819_28,Sangrah 2058-83 Dated 07.06.2022,"C/O Renuka Sataun Road for proposal of Double lane road Km. 5/00 to 13/450 (SH Geological investigation of soil Strata for construction of bridge at RD. 5/070,6/025,10/615,11/810 and 12/925)",Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,12-Jul-2022 10:10 AM,finsummary_93322.pdf (218.50 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,288921.0,mehboob hassanb,28-Jun-2022 06:05 PM,Rejected-Finance,L2,12-Jul-2022 10:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4. GST CLEARANCE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,289068.0,Nazar Ali,28-Jun-2022 08:04 PM,Rejected-Finance,L3,12-Jul-2022 10:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
