Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
29-Aug-2022,"INR 445,178",60.0,Pramod Upreti,29-Aug-2022 01:24 PM,shakholi72.pdf (1147.00 KB),AOC,EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,12-Oct-2021 04:27 PM,finsummary_77869.pdf (136.36 KB),EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,21-Sep-2021 05:39 PM,21-Sep-2021 05:45 PM,techsummary_77869.pdf (646.15 KB),PWD,2021_PWD_52109_2,PW-TA-2021-7283-7382dt-26-8-21,A/R and M/O to Link road to village Sakholi Km 0/0 to 3/800 under Missing culvert ( Construction of wing wall U/S and D/S side ( Sakholi side and Toe wall of 5x5 mtr. RCC Box cell culvert at RD 2/810),1.0,236057.0,THAKUR CONSTRUCTION,INR,"445,178",Finance,financial summary,Pramod Upreti,12-Oct-2021 04:22 PM,finance_77869.pdf,BOQ Comparative Chart,Technical,technical summmary,Pramod Upreti,21-Sep-2021 05:21 PM,technical_77869.pdf,1.0,235875.0,Dhanbir Singh Class C Contractor,15-Sep-2021 04:51 PM,Rejected-Finance,NOt lowest,12-Oct-2021 04:27 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,09-Sep-2021 12:00 PM,17-Sep-2021 12:30 PM,09-Sep-2021 12:00 PM,16-Sep-2021 05:00 PM,NA ,NA ,09-Sep-2021 12:00 PM,16-Sep-2021 05:00 PM,21-Sep-2021 05:45 PM,EE Shillai,Executive engineer HP PWD Sillai,PWD,PW-TA-2021-7283-7382dt-26-8-21,2021_PWD_52109_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"13,550",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,A/R and M/O to Link road to village Sakholi Km 0/0 to 3/800 under Missing culvert ( Construction of wing wall U/S and D/S side ( Sakholi side and Toe wall of 5x5 mtr. RCC Box cell culvert at RD 2/810),A/R and M/O to Link road to village Sakholi Km 0/0 to 3/800 under Missing culvert ( Construction of wing wall U/S and D/S side ( Sakholi side and Toe wall of 5x5 mtr. RCC Box cell culvert at RD 2/810),Please refer to tender document ,NA ,"6,76,477",Civil Works - Buildings,NA ,Rate Contract,90.0,60.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,235929.0,DHANVEER SINGH,16-Sep-2021 11:29 AM,Rejected-Technical,Not qualify,21-Sep-2021 05:39 PM,AOC,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,236120.0,MAHENDER SINGH,16-Sep-2021 03:04 PM,Rejected-Technical,Not qualify,21-Sep-2021 05:39 PM,AOC,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,235479.0,MITHLESH CHAUHAN,12-Sep-2021 08:37 PM,Rejected-Finance,NOt lowest,12-Oct-2021 04:27 PM,AOC,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,235695.0,RAJENDER PARKASH,14-Sep-2021 05:23 PM,Rejected-Finance,NOt lowest,12-Oct-2021 04:27 PM,AOC,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,235874.0,SATISH KUMAR,15-Sep-2021 01:49 PM,Rejected-Finance,NOt lowest,12-Oct-2021 04:27 PM,AOC,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,235785.0,Sohan SIngh,15-Sep-2021 05:29 PM,Rejected-Finance,NOt lowest,12-Oct-2021 04:27 PM,AOC,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,235598.0,SOHAN SINGH,13-Sep-2021 03:30 PM,Rejected-Finance,NOt lowest,12-Oct-2021 04:27 PM,AOC,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,236057.0,THAKUR CONSTRUCTION,16-Sep-2021 11:47 AM,Accepted-AOC,AOC,29-Aug-2022 01:25 PM,AOC,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
