Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
500.0,Nil,Nil,No,"53,800",No,fixed,,Nil,Nil,AMP for the year 2022 23 on Patta Goela Chhachi road in Km 0 00 to 19 500,AMP for the year 2022 23 on Patta Goela Chhachi road in Km 0 00 to 19 500 SH P/L Renewal coat by Providing 30mm thick Bituminous Concrete thermoplastic edge line in Km 11 00 to 13 00,As per tender documents ,NA ,"30,86,250",Civil Works,NA ,Tender,90.0,NA ,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,05-May-2022 05:00 PM,18-May-2022 11:00 AM,05-May-2022 05:00 PM,17-May-2022 04:00 PM,NA ,NA ,05-May-2022 05:05 PM,17-May-2022 04:00 PM,26-May-2022 03:25 PM,PWD,1295-1305 dated 30.04.2022,2022_PWD_60355_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer Kasauli,Executive Engineer HPPWD Division Kasauli,1.0,Fee/PreQual/Technical,.pdf,IFB,AOC,Finance,financial summary,Manohar Lal Sharma,07-Jun-2022 10:03 AM,finance_91196.pdf,BOQ Comparative Chart,1.0,282082.0,kapoor sanjee,INR,"3,084,380",1.0,282082.0,kapoor sanjee,16-May-2022 07:53 PM,Accepted-AOC,work completed,23-Aug-2022 12:50 PM,Technical,technical summary,Manohar Lal Sharma,26-May-2022 03:19 PM,technical_91196.pdf,Er. M.L Sharma,Internal,Sh Dharam Singh HDM Sh Deepak Waila Supdt Gr-II Er. Vishal Bhardwaj A.E. Kasauli,Manohar Lal Sharma,26-May-2022 03:22 PM,26-May-2022 03:25 PM,techsummary_91196.pdf (1356.75 KB),PWD,2022_PWD_60355_1,1295-1305 dated 30.04.2022,AMP for the year 2022 23 on Patta Goela Chhachi road in Km 0 00 to 19 500,10-Jun-2022,"INR 3,086,250",90.0,Manohar Lal Sharma,23-Aug-2022 12:49 PM,AOC.pdf (901.00 KB),AOC,Er M.L.Sharma,Internal,Sh Dharam Singh HDM Sh Deepak Waila Supdt Gr-II. Sh Vikas Sharma Sr.DAO,Manohar Lal Sharma,07-Jun-2022 10:05 AM,finsummary_91196.pdf (795.44 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,SBD,AOC,,,,,,,,,,,,2.0,282468.0,Nikhil private limited,17-May-2022 03:37 PM,Rejected-Finance,Being L2,07-Jun-2022 10:05 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,Access of Credit Facility issued by Bankers ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Work Details ,Works Completed ,Works Completed Details ,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Work Details ,Works for which Bids submitted ,Works for which Bids submitted Details ,HP_BidsAlreadySubmitted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
