Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,02-Jul-2022 11:54 AM,finsummary_91515.pdf (30.38 KB),HP SIDC Limited,2022_SIDC_60597_1,Job No. 16,"SRMO road and road side drain at Ind. Area Hatli PH-I, II and III Distt. Chamba (HP).",23-Jul-2022,"INR 9,771,227",180.0,Sushant Singh Negi,03-Aug-2022 03:27 PM,ravinderkumar.pdf (1542.00 KB),Award letter,1.0,282886.0,Ravinder Kumar,INR,"9,771,227",Technical,Tender summary,Sushant Singh Negi,21-Jun-2022 03:07 PM,technical_91515.pdf,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,21-Jun-2022 03:13 PM,22-Jun-2022 11:00 AM,techsummary_91515.pdf (554.20 KB),1.0,282896.0,ANKIT MAHAJAN,19-May-2022 03:59 PM,Rejected-Finance,Third lowest bidder,02-Jul-2022 11:54 AM,Finance,Financial summary,Sushant Singh Negi,02-Jul-2022 11:50 AM,finance_91515.pdf,BOQ Comparative Chart,AOC,"5,900",Nil,Nil,No,HPSIDC Shimla,Executive Engineer,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),13-May-2022 11:00 AM,21-May-2022 11:00 AM,13-May-2022 11:00 AM,20-May-2022 05:00 PM,NA ,NA ,13-May-2022 11:00 AM,20-May-2022 05:00 PM,22-Jun-2022 11:00 AM,HP SIDC Limited,Job No. 16,2022_SIDC_60597_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,22,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,"SRMO road and road side drain at Ind. Area Hatli PH-I, II and III Distt. Chamba (HP).","SRMO road and road side drain at Ind. Area Hatli PH-I, II and III Distt. Chamba (HP).",Please refer Tender documents. ,NA ,"89,62,642",Civil Works,NA ,Tender,120.0,180.0,Hatli (Chamba),176207.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283103.0,Arun Kumar,20-May-2022 03:31 PM,Rejected-Finance,Fourth lowest bidder,02-Jul-2022 11:54 AM,,,,,,,AOC,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,282886.0,Ravinder Kumar,19-May-2022 03:38 PM,Accepted-AOC,AOC,03-Aug-2022 03:27 PM,,,,,,,AOC,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,282840.0,sanjeev singh govt contractor,20-May-2022 02:26 PM,Rejected-Technical,Not qualified in the bid capacity,21-Jun-2022 03:13 PM,,,,,,,AOC,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,282424.0,sourav mahajan,20-May-2022 12:28 PM,Rejected-Finance,Fifth lowest bidder,02-Jul-2022 11:54 AM,,,,,,,AOC,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,282734.0,Yashpal,19-May-2022 11:44 AM,Rejected-Finance,Second lowest bidder,02-Jul-2022 11:54 AM,,,,,,,AOC,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Financial Turnover (last five years with breakup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
