Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,12-Jan-2022 04:21 PM,finsummary_81560.pdf (135.16 KB),03-Aug-2022,"INR 618,695",60.0,Pramod Upreti,03-Aug-2022 03:24 PM,naresh.pdf (793.00 KB),PWD,2021_PWD_54466_5,TA-11712-11811dt27-11-21,Construction of missing culvert on LPRR road km. 97/0 to 112/167(SH-Construction of 900 mm dia RCC Hume pipe clvert at RD 101/465),EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,27-Dec-2021 01:54 PM,27-Dec-2021 02:00 PM,techsummary_81560.pdf (1299.10 KB),Technical,technical summary,Pramod Upreti,27-Dec-2021 01:30 PM,technical_81560.pdf,1.0,249009.0,AJAY CHAUHAN,12-Dec-2021 08:02 PM,Rejected-Finance,Not lowest,12-Jan-2022 04:21 PM,Finance,financial summary,Pramod Upreti,28-Dec-2021 11:06 AM,finance_81560.pdf,BOQ Comparative Chart,1.0,249206.0,NARESH KUMAR,INR,"618,695",AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,08-Dec-2021 05:00 PM,14-Dec-2021 12:30 PM,08-Dec-2021 05:00 PM,13-Dec-2021 05:00 PM,NA ,NA ,08-Dec-2021 05:00 PM,13-Dec-2021 05:00 PM,27-Dec-2021 02:00 PM,PWD,TA-11712-11811dt27-11-21,2021_PWD_54466_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"15,900",No,fixed,,Nil,Nil,Construction of missing culvert on LPRR road km. 97/0 to 112/167(SH-Construction of 900 mm dia RCC Hume pipe clvert at RD 101/465),Construction of missing culvert on LPRR road km. 97/0 to 112/167(SH-Construction of 900 mm dia RCC Hume pipe clvert at RD 101/465),please refer to tender document ,NA ,"7,94,055",Civil Works - Roads,NA ,Rate Contract,90.0,60.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,EE Shillai,Executive Engineer HPPWD Shillai,350.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,249087.0,kirpa ram,13-Dec-2021 03:24 PM,Rejected-Finance,Not lowest,12-Jan-2022 04:21 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,249218.0,NARESH,13-Dec-2021 04:19 PM,Rejected-Finance,Not lowest,12-Jan-2022 04:21 PM,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,249206.0,NARESH KUMAR,13-Dec-2021 04:23 PM,Accepted-AOC,AOC,03-Aug-2022 03:24 PM,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,249075.0,virender sharma,13-Dec-2021 11:17 AM,Rejected-Finance,Not lowest,12-Jan-2022 04:21 PM,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
