S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,283675.0,SS RANA CONSTRUCTION PRIVATE LIMITED,INR,"72,387,832","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2022_HPIPH_60609_1,EE-JSVD-Amb-LWSS Amb Kathour Khurd Kathour Kalan,"Engineering, procurement, construction, testing, commissioning, trial run of various components for Construction of LWSS Amb Kathour Khurd Kathour Kalan in Chintpurni constituency in Amb Block in District Una (HP) 2nd Phase ( JJM)",Er. SK Sharma CE,Internal,"Er. Vijay Dhatwalia SE (D), Er. Arvind Sood SE JSC Una, Er. Rajesh Kanungo EE (D), Er. Hoshiar Singh JSD Amb, Sh. Iqwal Singh Assistant Controller, Sh. Amar Singh SA JSV Hamirpur Zone",Hoshiar Singh,17-Aug-2022 12:54 PM,finsummary_91526.pdf (1493.16 KB),Dr. S.K Sharma CE,Internal,"Er.Vijay Kumar Dhatwalia SE D,Er. Arvinder Sood SE JSV Una , Er.Rajesh Kanugo,EE D Hamirpur, Er.Hoshiar Singh EE Amb Sh. Iqbal Singh AC and Amar Singh Sr. Asstt. JSV Hamirpur",Hoshiar Singh,10-Jun-2022 12:39 PM,10-Jun-2022 12:50 PM,techsummary_91526.pdf (4442.75 KB),1.0,284203.0,Deepak Kumar Beetan,28-May-2022 10:37 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,10-Jun-2022 12:30 PM,Finance,Summary,Hoshiar Singh,17-Aug-2022 12:16 PM,finance_91526.pdf,BOQ Comparative Chart,Technical,summary -cover 1 and 2,Hoshiar Singh,10-Jun-2022 12:30 PM,technical_91526.pdf,17-Aug-2022,"INR 72,387,832",365.0,Hoshiar Singh,17-Aug-2022 01:13 PM,award_amb.pdf (5704.00 KB),Award letter a/w RSQ,AOC,"Engineering, procurement, construction, testing, commissioning, trial run of various components for Construction of LWSS Amb Kathour Khurd Kathour Kalan in Chintpurni constituency in Amb Block in District Una (HP) 2nd Phase ( JJM)","Sub head Providing, Laying, jointing and testing of GMSERW pipe in Rising mains, Supply and Errection of Submersible/ Centrifugal Pumping Machinery including all accessories, Laying Jointing and testing of GMS pipes of various dia in Gravity mains",Please refer Tender documents. ,NA ,"7,61,87,623",Civil Works,NA ,Tender,180.0,365.0,Amb,177203.0,Hamirpur  ,"Chief Engineer, Jal Shakti Vibhag, Hamirpur Zone, Hamirpur. ",19-May-2022 03:00 PM ,Amb,No ,No,1.0,corrigendum,Date,,"7,94,376",No,fixed,,EE JSV Division Amb,Amb,Executive Engineer,"Jal Shakti Division, Amb Distt. Una (HP)",1.0,ICICI BANK,1.0,Fee,.pdf,(i) Earnest money and cost of tender form as per NIT conditioncover-2 ( i and ii),"2,500",EE JSV Division Amb,Amb,No,13-May-2022 05:00 PM,28-May-2022 11:30 AM,13-May-2022 05:00 PM,28-May-2022 11:00 AM,13-May-2022 05:00 PM ,18-May-2022 05:00 PM ,13-May-2022 05:00 PM,28-May-2022 11:00 AM,10-Jun-2022 12:50 PM,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EE-JSVD-Amb-LWSS Amb Kathour Khurd Kathour Kalan,2022_HPIPH_60609_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,284156.0,Dogra Construction Company Pvt Ltd,27-May-2022 07:10 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,10-Jun-2022 12:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Corrected /updated terms and condition as DNIT,Other,,,,,,,,,,,,,,.pdf,(ii) Copy of Certificate of registration with HP Jal Shakti Vibhag as per NIT conditioncover-2 (iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,283585.0,KATIANI CONSTRUCTION,24-May-2022 01:44 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,10-Jun-2022 12:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"(iii) Copy of PAN, GST and EPF as per NIT conditioncover-2 (iv) and 3 (d)",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,284196.0,MS Kamal Dev Sharma,28-May-2022 08:02 AM,Rejected-Finance,Due to L3,17-Aug-2022 12:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(iv) Annual Turnover as per NIT conditioncover-2 (v)and 3 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,283675.0,SS RANA CONSTRUCTION PRIVATE LIMITED,28-May-2022 10:11 AM,Accepted-AOC,Due to L1,17-Aug-2022 01:14 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(v) Work done / eligibility and qualification as per NIT conditioncover3 (b) and (e),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,284174.0,Thakur Constructions,27-May-2022 06:32 PM,Rejected-Finance,Due to L2,17-Aug-2022 12:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(vi) Undertaking of DSC as per NIT conditioncover3 (f),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,(vii) Copy of undertaking reg. studied all terms and conditions as per NIT conditioncover3 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Make/ model of the proposed pumping machinery alongwith the characteristic curves as per NIT 4 a,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,pumping machinery manufacturer authorization certificate in his technical as per NIT cond.4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Flow diagram of the intake structure and Booster stage/ 1st stage as per the site conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.pdf,From No.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Data Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIeT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Schedule of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
