S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,288442.0,MS Sonu Kumar A Class Govt Cont,29-Jun-2022 02:39 PM,Rejected-Finance,High Rates,10-Aug-2022 11:37 AM,1.0,Office Order,Revocation of Tender,16-Jul-2022 02:42 PM,revocation.pdf ,339.04,Technical Opening,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,2022_HPSEB_61961_1,NIT-07/2022-23,Tender for the work Prov. 11KV D C HT Link Line Berthin to Sunhani and Berthin to Kapahra upto prop. Four pole structure and D C H.T. line Berthin local and Berthin to Chatt Karloti near HPPWD Office Berthin and 11 KV SC Link Line Berthin to Kapahra,AOC,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,NIT-07/2022-23,2022_HPSEB_61961_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Cost Payment Proof,SE OP Circle HPSEBL Bilaspur,SE OP Circle HPSEBL Bilaspur,Tender for the work Prov. 11KV D C HT Link Line Berthin to Sunhani and Berthin to Kapahra upto prop. Four pole structure and D C H.T. line Berthin local and Berthin to Chatt Karloti near HPPWD Office Berthin and 11 KV SC Link Line Berthin to Kapahra,Tender for the work Prov. 11KV D C HT Link Line Berthin to Sunhani and Berthin to Kapahra upto prop. Four pole structure and D C H.T. line Berthin local and Berthin to Chatt Karloti near HPPWD Office Berthin and 11 KV SC Link Line Berthin to Kapahra,Please refer Tender documents. ,NA ,"28,12,354",Electrical Works,NA ,Tender,180.0,120.0,Bilaspur,174001.0,NA ,NA ,NA ,SE OP Circle HPSEBL Bilaspur,No ,No,1.0,ICICI BANK,"28,124",No,fixed,,Nil,Nil,"1,120",Nil,Nil,No,23-Jun-2022 11:00 AM,02-Jul-2022 11:00 AM,24-Jun-2022 11:00 AM,01-Jul-2022 11:00 AM,NA ,NA ,24-Jun-2022 11:00 AM,01-Jul-2022 11:00 AM,16-Jul-2022 02:55 PM,AOC
2.0,289457.0,NEW INDIA ELECTRICALS CO,30-Jun-2022 08:08 PM,Rejected-Technical,Rejected,16-Jul-2022 02:54 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,A-Class Electrical license,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,AOC
3.0,289041.0,TILAK RAJ,28-Jun-2022 07:57 PM,Rejected-Finance,High Rates,10-Aug-2022 11:37 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Annual turnover/Net Worth of the bidder certified by the Chartered Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,289445.0,VINOD KUMAR PANWAR GOVT CONTRACTOR,30-Jun-2022 06:24 PM,Accepted-AOC,Lowest Bidder,10-Aug-2022 11:39 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Liquid assets /evidence to the availability of fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Bid Capacity and Bid validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"List of Staff, Plants and Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,PAN/GST/EPF/Income Tax/Employees insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Declaration on non judicial stamp paper that he is not blacklisted by any state Govt. Agency/Deptt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"No Commercial, Technical, Litigation deviation certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Power of Attorney, No change of ownership and other documents as per bid specifications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
