Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Stage
Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,05-Feb-2022 10:10 PM,finsummary_81344.pdf (184.85 KB),02-Aug-2022,"INR 2,486,522",730.0,Dalip singh Patial,02-Aug-2022 01:42 PM,awardletterSoNblockA.pdf (833.00 KB),awarded to the lowest contractor after negotiation,PWD,2021_PWD_54311_3,Elect. Division HPPWD Palampur,C/O School of Nursing at Dr. RPGMC Tanda in Distt. Kangra (HP) (SH- Providing internal E.I. in Block-A therein),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Kumar Supdt. Sh. Manoj Kumar Sr. Asstt.,Dalip singh Patial,27-Dec-2021 12:53 PM,27-Dec-2021 02:00 PM,techsummary_81344.pdf (251.82 KB),Technical,as per uploaded document,Dalip singh Patial,27-Dec-2021 12:50 PM,technical_81344.pdf,1.0,249005.0,Deepak Sood,13-Dec-2021 09:53 AM,Accepted-AOC,L1,02-Aug-2022 01:42 PM,1.0,249005.0,Deepak Sood,INR,"2,966,299",Finance,as Per uploaded document,Dalip singh Patial,05-Feb-2022 08:12 PM,finance_81344.pdf,BOQ Comparative Chart,AOC,"44,800",No,fixed,,Nil,Nil,PWD,Elect. Division HPPWD Palampur,2021_PWD_54311_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O School of Nursing at Dr. RPGMC Tanda in Distt. Kangra (HP) (SH- Providing internal E.I. in Block-A therein),C/O School of Nursing at Dr. RPGMC Tanda in Distt. Kangra (HP) (SH- Providing internal E.I. in Block-A therein),Please refer Tender documents. ,NA ,"24,86,552",Electrical Works,NA ,Tender,120.0,730.0,Kangra at Tanda in Distt. Kangra,176001.0,NA ,NA ,NA ,Palampur,No ,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited (EMD),04-Dec-2021 10:00 AM,14-Dec-2021 11:30 AM,04-Dec-2021 10:00 AM,14-Dec-2021 10:00 AM,NA ,NA ,04-Dec-2021 10:00 AM,14-Dec-2021 10:00 AM,27-Dec-2021 02:00 PM,Executive Engineer,Elect. Division HPPWD Palampur,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,248813.0,JAMWAL ELECTRICAL WORKS,11-Dec-2021 12:43 PM,Rejected-AOC,L2,02-Aug-2022 01:42 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,249073.0,Malhotra Associates,13-Dec-2021 11:37 AM,Rejected-AOC,L3,02-Aug-2022 01:42 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration Certificate,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (minimum one similar work done not less than 40 percent of estimated cost),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules-2021,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,AOC
