Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
29-Mar-2022 05:00 PM,07-Apr-2022 11:00 AM,29-Mar-2022 05:00 PM,07-Apr-2022 10:00 AM,NA ,NA ,29-Mar-2022 05:00 PM,07-Apr-2022 10:00 AM,11-Apr-2022 04:50 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,"1,83,500",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HPPWD Division Nahan,"5,000",Nil,Nil,No,Periodical Maintenance on Jhameria Rama Dhaun Road under AMP 2022-23,P/L 30 mm thick Bituminous Concrete in Km 13/0 to 22/310,As per Bidding Documents ,NA ,"1,50,95,745",Civil Works - Roads,NA ,Tender,75.0,90.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,PWD,NAHAN 12425-50,2022_PWD_58788_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,PWD,2022_PWD_58788_1,NAHAN 12425-50,Periodical Maintenance on Jhameria Rama Dhaun Road under AMP 2022-23,Er. V. K. Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,11-Apr-2022 04:46 PM,11-Apr-2022 04:50 PM,techsummary_88943.pdf (465.89 KB),Er. V. K. Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,12-Apr-2022 11:10 AM,finsummary_88943.pdf (370.85 KB),25-Aug-2022,"INR 15,095,745",90.0,Vijay Kumar Aggarwal,11-Apr-2023 12:13 PM,AOC_58788_1.pdf (1413.00 KB),Awarded to M/s S. S. Associates,Finance,Financial Bids were opened on 11.04.2022 at 1700 Hours,Vijay Kumar Aggarwal,12-Apr-2022 10:03 AM,,BOQ Comparative Chart,1.0,274415.0,S.S. Associates,INR,"13,424,896",1.0,275638.0,Chanana Cont. Works,06-Apr-2022 10:40 PM,Rejected-Finance,L3,12-Apr-2022,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,07-Apr-2022 03:00 PM,technical_88943.pdf
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,275666.0,H. C. Bansal Engg. & Contt.,06-Apr-2022 12:19 AM,Rejected-Finance,L2,12-Apr-2022,,,,,
,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,274415.0,S.S. Associates,06-Apr-2022 06:55 PM,Accepted-AOC,L1,11-Apr-2023,,,,,
,,,,,,,,,,,,,.pdf,Work Done Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,List of Work(s)-in-Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Profit and Loss Statements and Annual Turnover Report from Chartered Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,List of Machinery and List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity in .xls Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
