Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Construction of Health Sub Centre at Murah, Tehsil Balichowki Distt. Mandi HP SH C.O building portion W.S and S.I Septic Tank, Rain water harvesting system and site development etc.","Construction of Health Sub Centre at Murah, Tehsil Balichowki Distt. Mandi HP SH C.O building portion W.S and S.I Septic Tank, Rain water harvesting system and site development etc.",Please refer Tender documents. ,NA ,"64,83,370",Civil Works,NA ,Tender,120.0,270.0,Murah Tehsil Balichowki,175106.0,NA ,NA ,NA ,EE Thalout Division HPPWD Thalout Distt. Mandi H.P,No ,No,PWD,PW/TLD/AB/Tender/2022- 1614-33 dated 17.05.2022,2022_PWD_61072_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,"1,30,000",No,fixed,,EE Thalout Division HPPWD Thalout,Thalout/Mandi,1.0,ICICI BANK,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender (General rule No. 26.1),Executive Engineer,Executive Engineer Thalout Division HPPWD Thalout Distt. Mandi H.P,25-May-2022 06:25 PM,04-Jun-2022 11:30 AM,25-May-2022 06:25 PM,03-Jun-2022 06:00 PM,NA ,NA ,25-May-2022 06:25 PM,03-Jun-2022 06:00 PM,08-Jun-2022 10:15 AM,"2,000",EE Thalout Division HPPWD Thalout,Thalout/Mandi,No,AOC,Finance,Attached,Balbir Singh Thakur,26-Aug-2022 12:35 PM,finance_92178.pdf,BOQ Comparative Chart,1.0,284885.0,Balwant SIngh Thakur,INR,"6,250,613",1.0,284885.0,Balwant SIngh Thakur,01-Jun-2022 07:19 PM,Accepted-AOC,Bidder is found L1,26-Aug-2022 03:33 PM,Technical,Summary attached herewith.,Suresh Kaushal,07-Jun-2022 05:17 PM,technical_92178.pdf,PWD,2022_PWD_61072_1,PW/TLD/AB/Tender/2022- 1614-33 dated 17.05.2022,"Construction of Health Sub Centre at Murah, Tehsil Balichowki Distt. Mandi HP SH C.O building portion W.S and S.I Septic Tank, Rain water harvesting system and site development etc.",Er. S.K. Kaushal EE,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur DHD 3. Sh. Amit Nagar DAO 4. Er. Satish Kumar Thakur AE,Suresh Kaushal,07-Jun-2022 05:24 PM,08-Jun-2022 10:15 AM,techsummary_92178.pdf (356.87 KB),Er. Suresh Kumar Kaushal EE,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur DHD 3. Er. Satish Kumar,Suresh Kaushal,26-Aug-2022 03:24 PM,finsummary_92178.pdf (639.70 KB),26-Aug-2022,"INR 6,250,613",270.0,Suresh Kaushal,26-Aug-2022 03:32 PM,awardletter.pdf (493.00 KB),Work awarded to contractor vide letter No. 14319-28 dated 13/07/2022.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,Earnest Money (General rule No. 26.2),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,284743.0,Dinesh kumar,31-May-2022 06:42 PM,Rejected-Finance,Contractor is not L1,26-Aug-2022 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General rule No. 26.3),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,284889.0,Parven Vaidya,01-Jun-2022 07:32 PM,Rejected-Finance,Contractor is not L1,26-Aug-2022 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Goods and Service Tax Registration (General rule No. 26.4),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,284760.0,pawan kumar govt. contractor,03-Jun-2022 07:15 AM,Rejected-Finance,Contractor is not L1,26-Aug-2022 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate and Work in hand Certificate (GR rule 26.5),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery (GR rule 26.6),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF and Miscellaneous provision Act 1952 (GR 25 A),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of Chartered Accountant (GR 28.2 a),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD form 8 duly singed by contractor,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
