Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,17-May-2022 08:06 PM,finsummary_76337.pdf (1090.57 KB),30-Aug-2022,"INR 8,707,368",90.0,Sudhir Kumar Gupta,30-Aug-2022 03:33 PM,AOC51060_1.pdf (550.00 KB),AOC,PWD,2021_PWD_51060_1,SD-I-CTR-Tender-8858 dt 3-8-21,Widening /Improvement of MRR Lakkar Bazar road Victory Tunnel to Sanjulli at RD. 147/825 to 153/075 (SH PCC Retaining wall at Rd. 148/720 to 148/775 and Toe wall at Rd. 148/780 to 148/870)(Under Smart city project,ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,02-Mar-2022 10:35 AM,02-Mar-2022 02:00 PM,techsummary_76337.pdf (825.29 KB),Technical,Bid opening summary,Sudhir Kumar Gupta,02-Mar-2022 10:28 AM,technical_76337.pdf,1.0,231181.0,Ashok Thapa,20-Aug-2021 03:22 PM,Rejected-Technical,No,02-Mar-2022 10:35 AM,Finance,Bid opening summary,Sudhir Kumar Gupta,17-May-2022 08:04 PM,finance_76337.pdf,BOQ Comparative Chart,1.0,230663.0,Sanjeev Kumar Aggarwal,INR,"7,285,861",AOC,Widening /Improvement of MRR Lakkar Bazar road Victory Tunnel to Sanjulli at RD. 147/825 to 153/075 (SH PCC Retaining wall at Rd. 148/720 to 148/775 and Toe wall at Rd. 148/780 to 148/870)(Under Smart city project,Widening /Improvement of MRR Lakkar Bazar road Victory Tunnel to Sanjulli at RD. 147/825 to 153/075 (SH PCC Retaining wall at Rd. 148/720 to 148/775 and Toe wall at Rd. 148/780 to 148/870)(Under Smart city project,As Per SBD ,NA ,,Civil Works,NA ,Tender,75.0,90.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3.,No ,No,"1,74,200",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),"2,000",Nil,Nil,No,PWD,SD-I-CTR-Tender-8858 dt 3-8-21,2021_PWD_51060_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,13-Aug-2021 06:00 PM,21-Aug-2021 11:00 AM,13-Aug-2021 06:00 PM,20-Aug-2021 04:00 PM,NA ,NA ,13-Aug-2021 06:00 PM,20-Aug-2021 04:00 PM,02-Mar-2022 02:00 PM,Executive Engineer Division No-IHPPWD Shimla-3.,Executive Engineer Division No-IHPPWD Shimla-3.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,230751.0,Devi Prakash Sharma,19-Aug-2021 03:26 PM,Rejected-Finance,2nd Lowest,17-May-2022 08:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,231154.0,MANTU KUMAR GUPTA,20-Aug-2021 01:33 PM,Rejected-Technical,No,02-Mar-2022 10:35 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,230663.0,Sanjeev Kumar Aggarwal,19-Aug-2021 12:02 PM,Accepted-AOC,Awarded,30-Aug-2022 03:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.28.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (Refer General rule No 26.7). (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
