S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
1.0,280568.0,R K ENGINNERS SALES LTD,INR,0,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Sarkaghat,Irrigation and Public Health,HP",2022_HPIPH_59820_1,EE-JSD-SKT-Tender-2022-1411-60 DT. 22.4.22,"Providing Lift Irrigation Scheme to Basantpur, Paplog, Rakhoh, Bakarta, Barchawar, Darpa, Parshada Hawani,, Janjhel and Ropri, Panchayat in Gopalpur Block Distt. Mandi H.P.",Dr. Sham Kumar Sharma,Internal,,Lekh Raj Sharma,03-Aug-2022 03:19 PM,finsummary_90479.pdf (5552.68 KB),Finance,Summary,Lekh Raj Sharma,03-Aug-2022 03:04 PM,finance_90479.pdf,BOQ Comparative Chart,Technical,Minutes of the Meeting,Lekh Raj Sharma,17-May-2022 05:44 PM,technical_90479.pdf,03-Aug-2022,"INR 920,261,005",730.0,Lekh Raj Sharma,03-Aug-2022 03:22 PM,Lolbasantpur.pdf (476.00 KB),Dr. Sham Kumar Sharma C.E.,Internal,,Lekh Raj Sharma,17-May-2022 05:47 PM,17-May-2022 05:50 PM,techsummary_90479.pdf (5552.68 KB),1.0,280697.0,HARJEET SINGH,05-May-2022 03:02 PM,Accepted-AOC,L2,03-Aug-2022 03:22 PM,AOC,"2,500",Executive Engineer,Jal Shakti Division Sarkaghat Distt. Mandi HP,No,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Sarkaghat,Irrigation and Public Health,HP",EE-JSD-SKT-Tender-2022-1411-60 DT. 22.4.22,2022_HPIPH_59820_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,"68,42,707",No,fixed,,Executive Engineer,Jal Shakti Division Sarkaghat Distt. Mandi HP,22-Apr-2022 06:00 PM,06-May-2022 11:30 AM,22-Apr-2022 06:00 PM,05-May-2022 05:00 PM,NA ,NA ,22-Apr-2022 06:00 PM,05-May-2022 05:00 PM,17-May-2022 05:50 PM,1.0,Corrigendum,Other,,"Providing Lift Irrigation Scheme to Basantpur, Paplog, Rakhoh, Bakarta, Barchawar, Darpa, Parshada Hawani,, Janjhel and Ropri, Panchayat in Gopalpur Block Distt. Mandi H.P.","C/O 1 No. Intake Structure,1No.Desilting tank,2Nos Collection Tank, 3 Nos Pump House,3 Nos Main Delivery Tank,56 Nos Delivery Tanks of various Capacity,80 No. Thrust Block,700 Nos Outlets, Providing and installation of pumping machinery 1st , 2nd",- ,NA ,"68,10,20,673",Civil Works,NA ,Tender,120.0,730.0,SARKAGHAT,175024.0,Hamirpur ,Chief Engineer Jal Shakti Vibhag Hamirpur Zone Hamirpur. ,27-Apr-2022 04:00 PM ,Jal Shakti Division Sarkaghat Distt. Mandi HP,No ,No,Executive Engineer,Jal Shakti Division Sarkaghat Distt. Mandi HP,1.0,Fee,.pdf,The cost of tender form both online and offline mode,AOC
2.0,280697.0,HARJEET SINGH,INR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,280568.0,R K ENGINNERS SALES LTD,05-May-2022 01:25 PM,Accepted-AOC,L3,03-Aug-2022 03:22 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"The earnest money only in the shape of NSC,Time Deposit receipt Demand Draft or e payment",AOC
3.0,280752.0,Unipro Techno Infrastructure Pvt Ltd,INR,"920,261,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,280650.0,RPP Infra Projects Limited,05-May-2022 04:56 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,17-May-2022 05:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with JAL Shakti Vibhag or any other state/central Govt. dept.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,280752.0,Unipro Techno Infrastructure Pvt Ltd,05-May-2022 02:13 PM,Accepted-AOC,AOC,03-Aug-2022 03:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Number/EPF/GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"work done, experience, Annual Turnover of Three years.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signatureCertificate(DSC) of the person authorized,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that I have carefully studied tender documents,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,make/Model of the proposed pumping machinery along with the characteristic curves,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder shall submit pumping machinery manufacturer authorization certificate in his technical bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Flow diagram of the intake structure and Booster stage as per the site conditions alongwith contour,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,AOC
